reform	target	spec_name	window	a	b	beta	se	n_obs	r2	t_stat	p_norm	stars_norm	ci_low_95	ci_high_95
haifa_comp	Haifa-Bayport terminal	baseline	avg_pre	-12	-2	2.145553482862713	7.270306941429325e-15	91	1.0	295111815793695.0	0.0	***	2.1455534828626988	2.145553482862727
haifa_comp	Haifa-Bayport terminal	baseline	post_1yr	1	12	0.3999227347891937	1.117432130786688e-15	91	1.0	357894429353523.6	0.0	***	0.39992273478919155	0.3999227347891959
haifa_comp	Haifa-Bayport terminal	baseline	post_2yrs	1	24	0.3667909027089636	1.2689141055005537e-15	91	1.0	289058889895682.94	0.0	***	0.3667909027089611	0.3667909027089661
haifa_comp	Haifa-Bayport terminal	baseline	full_post	1	13	0.3667909027089636	1.2689141055005537e-15	91	1.0	289058889895682.94	0.0	***	0.3667909027089611	0.3667909027089661
haifa_comp	Haifa-Legacy terminal	baseline	avg_pre	-12	-2	2.145553482862713	7.236489493796864e-15	91	1.0	296490927638585.9	0.0	***	2.1455534828626988	2.145553482862727
haifa_comp	Haifa-Legacy terminal	baseline	post_1yr	1	12	0.4055999220118809	1.1086067563342301e-15	91	1.0	365864559001116.1	0.0	***	0.4055999220118787	0.40559992201188305
haifa_comp	Haifa-Legacy terminal	baseline	post_2yrs	1	24	0.3724680899316507	1.0863355317653132e-15	91	1.0	342866526078166.56	0.0	***	0.3724680899316486	0.3724680899316528
haifa_comp	Haifa-Legacy terminal	baseline	full_post	1	13	0.3724680899316507	1.0863355317653132e-15	91	1.0	342866526078166.56	0.0	***	0.3724680899316486	0.3724680899316528
ashdod_comp	Ashdod-HCT terminal	baseline	avg_pre	-12	-2	-0.3711733375664903	4.646164169546468e-15	95	1.0	-79888123626660.86	0.0	***	-0.3711733375664994	-0.3711733375664812
ashdod_comp	Ashdod-HCT terminal	baseline	post_1yr	1	12	-0.1480513845796759	4.4985210216438136e-15	95	1.0	-32911124315603.652	0.0	***	-0.14805138457968472	-0.14805138457966707
ashdod_comp	Ashdod-HCT terminal	baseline	post_2yrs	1	24	-0.1480513845796759	4.4985210216438136e-15	95	1.0	-32911124315603.652	0.0	***	-0.14805138457968472	-0.14805138457966707
ashdod_comp	Ashdod-HCT terminal	baseline	full_post	1	10	-0.1480513845796759	4.4985210216438136e-15	95	1.0	-32911124315603.652	0.0	***	-0.14805138457968472	-0.14805138457966707
ashdod_comp	Ashdod-Legacy terminal	baseline	avg_pre	-12	-2	-0.3711733375664902	3.97241017628766e-15	95	1.0	-93437817620677.61	0.0	***	-0.37117333756649795	-0.3711733375664824
ashdod_comp	Ashdod-Legacy terminal	baseline	post_1yr	1	12	-0.1480513845796756	4.267517499453583e-15	95	1.0	-34692625068000.832	0.0	***	-0.14805138457968395	-0.14805138457966724
ashdod_comp	Ashdod-Legacy terminal	baseline	post_2yrs	1	24	-0.1480513845796756	4.267517499453583e-15	95	1.0	-34692625068000.832	0.0	***	-0.14805138457968395	-0.14805138457966724
ashdod_comp	Ashdod-Legacy terminal	baseline	full_post	1	10	-0.1480513845796756	4.267517499453583e-15	95	1.0	-34692625068000.832	0.0	***	-0.14805138457968395	-0.14805138457966724
haifa_priv	Haifa-Legacy terminal	baseline	avg_pre	-12	-2	0.1158538503431763	0.0813964633599238	117	0.9473313190845972	1.4233278150045259	0.1546411473218925		-0.04368321784227436	0.27539091852862696
haifa_priv	Haifa-Legacy terminal	baseline	post_1yr	1	12	0.0852387523102389	0.059886943409428	117	0.9473313190845972	1.4233278150044935	0.15464114732190182		-0.03213965677223998	0.2026171613927178
haifa_priv	Haifa-Legacy terminal	baseline	post_2yrs	1	24	0.0852387523102389	0.059886943409428	117	0.9473313190845972	1.4233278150044935	0.15464114732190182		-0.03213965677223998	0.2026171613927178
haifa_priv	Haifa-Legacy terminal	baseline	full_post	1	8	0.0852387523102389	0.059886943409428	117	0.9473313190845972	1.4233278150044935	0.15464114732190182		-0.03213965677223998	0.2026171613927178
haifa_priv	Haifa-Bayport terminal	baseline	avg_pre	-12	-2	0.1158538503431763	0.0813964633599213	117	0.9473313190845972	1.4233278150045696	0.15464114732187983		-0.043683217842269445	0.2753909185286221
haifa_priv	Haifa-Bayport terminal	baseline	post_1yr	1	12	0.0852387523102431	0.0598869434094243	117	0.9473313190845972	1.4233278150046513	0.15464114732185608		-0.03213965677222852	0.2026171613927147
haifa_priv	Haifa-Bayport terminal	baseline	post_2yrs	1	24	0.0852387523102431	0.0598869434094243	117	0.9473313190845972	1.4233278150046513	0.15464114732185608		-0.03213965677222852	0.2026171613927147
haifa_priv	Haifa-Bayport terminal	baseline	full_post	1	8	0.0852387523102431	0.0598869434094243	117	0.9473313190845972	1.4233278150046513	0.15464114732185608		-0.03213965677222852	0.2026171613927147
haifa_comp	Haifa-Bayport terminal	porttr	avg_pre	-12	-2	2.11178298794524	9.626907652091408e-12	91	1.0	219362547586.75943	0.0	***	2.111782987926371	2.111782987964109
haifa_comp	Haifa-Bayport terminal	porttr	post_1yr	1	12	0.5842281359416817	4.5436541319268935e-12	91	1.0	128581119728.38908	0.0	***	0.5842281359327761	0.5842281359505872
haifa_comp	Haifa-Bayport terminal	porttr	post_2yrs	1	24	0.5511532644270283	5.8592530710631694e-12	91	1.0	94065447889.42198	0.0	***	0.5511532644155441	0.5511532644385124
haifa_comp	Haifa-Bayport terminal	porttr	full_post	1	13	0.5511532644270283	5.8592530710631694e-12	91	1.0	94065447889.42198	0.0	***	0.5511532644155441	0.5511532644385124
