port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Haifa	Haifa-Legacy	2021	Q3	349371.975198281	4060207.5	7372.8003958394365	47.386604334960154
Haifa	Haifa-Legacy	2021	Q4	351457.887348166	4224779.5	7367.726179158226	47.70235467522772
Haifa	Haifa-Legacy	2022	Q1	354496.0	4248435.798	8717.7419443668	40.66374093913929
Haifa	Haifa-Legacy	2022	Q2	318193.0	3296997.828	6749.887468287094	47.14048960000621
Haifa	Haifa-Legacy	2022	Q3	240017.0	2017959.724	4675.6221656323	51.33370308752092
Haifa	Haifa-Legacy	2022	Q4	157894.0	774599.4709999999	2635.471825969124	59.911093886173006
Haifa	Haifa-Legacy	2023	Q1	170270.0	227730.07599999988	3074.7844312187717	55.37623980114567
Haifa	Haifa-Legacy	2023	Q2	191550.0	708632.5560000002	3936.5315585899752	48.65958703722706
Haifa	Haifa-Legacy	2023	Q3	176997.0	853088.084	3767.5978324529387	46.978740266649964
Haifa	Haifa-Legacy	2023	Q4	193275.0	1283548.1970000002	4161.739238962804	46.440920226460015
Haifa	Haifa-Legacy	2024	Q1	164873.0	829953.1479999998	3563.314041653567	46.269567619555126
Haifa	Haifa-Legacy	2024	Q2	147928.0	965372.027	3506.1077412064474	42.191515754475404
Haifa	Haifa-Legacy	2024	Q3	172710.0	1427507.0990000002	4396.95202393713	39.27948248235639
Haifa	Haifa-Legacy	2024	Q4	162259.0	1436296.702	4332.89448588578	37.44817708544526
