design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	pre_4_2	-4	-2	-4	7.771561172376096e-16	1.1580499465147647e-14	0.06710903269556873	0.946494903057097	3	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	q0	0	0	0	-0.08435008231690971	1.4994429634473176e-14	-5625427867091.613	0.0	1	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	q1_2	1	2	1	-0.08435008231690991	1.2234790036741417e-14	-6894281149378.474	0.0	2	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	q3_4	3	4	3	-0.22774486498926727	0.1433947826723576	-1.5882367596988585	0.11223281168662487	2	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	q5_8	5	8	5	-0.3711396476616229	1.1117107359725006e-14	-33384551902969.43	0.0	3	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	9	q9_40	9	40	9	0.0	0.0			0	28	0.9511857377821554	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-8	pre_8_5	-8	-5	-8	-0.15918786237589289	0.034119149262912464	-4.665645709663992	3.076493933262631e-06	2	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	-4	pre_4_2	-4	-2	-4	-0.22858341954140826	0.06005092838943496	-3.806492683327507	0.00014095146048690146	3	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	0	q0	0	0	0	-0.09471411345639513	0.007529272386041776	-12.579451054524462	2.739267123013233e-36	1	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	1	q1_2	1	2	1	-0.26559727713890524	0.028920459350071526	-9.183715719171257	4.1646706858266306e-20	2	28	0.5791355290018556	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	3	q3_4	3	4	3	-0.3285426416829269	0.03492074362233376	-9.40823727112173	5.045268081905822e-21	2	28	0.5791355290018556	HC1
