design	table_group	reform	target	target_key	spec_name	window	beta_m	se_m	n_obs_m	r2_m	beta_q	se_q	n_obs_q	r2_q
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	0.314927979649189	0.019158577086377707	88	0.6231964824954224	0.29062584434097527	0.054017140015722505	31	0.6858147161911348
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	0.2907834057110138	0.04821274413641633	88	0.6231964824954224	0.27090088748280294	0.0954969180833705	31	0.6858147161911348
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	avg_pre	0.10931307242316118	0.031018199647944007	116	0.8620786352794585	0.10810259508711795	0.03588082192226137	41	0.8871258806332252
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	full_post	0.0345122177955894	0.04085716180394275	116	0.8620786352794585	-0.005838581621868899	0.08138668492510784	41	0.8871258806332252
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1	0.055379633720295675	0.0098588955812695	116	0.8620786352794585	0.03888514259666164	0.007172613087358027	41	0.8871258806332252
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	0.1433523952087078	0.021865949095285542	116	0.8620786352794585	0.11567045308619561	0.03942767810854924	41	0.8871258806332252
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-0.11194567414912981	0.021287503792951797	116	0.8120361342439616	-0.022992996490676987	0.044130256211667385	41	0.8677526728375056
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	full_post	0.3424493510242811	0.05981383630681916	116	0.8120361342439616	0.5578666328108649	0.1092479871648392	41	0.8677526728375056
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1	0.053268442894311374	0.02144157160595266	116	0.8120361342439616	0.20191094139596044	0.05042368280211937	41	0.8677526728375056
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	0.21217698485874728	0.02994351566537769	116	0.8120361342439616	0.37936803427287696	0.05980103880477838	41	0.8677526728375056
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	4.649058915617843e-15	1.9923276211960493e-14	80	0.9726542780159577	-4.718447854656915e-16	3.0478343434354086e-14	28	0.9511857377821553
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	0.047938886042393325	0.002439194786976131	80	0.9726542780159577	0.052718712131470974	0.007169739133617892	28	0.9511857377821553
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	0.10824921276230533	0.024391947869761312	80	0.9726542780159577	0.15604747365308677	0.07169739133617889	28	0.9511857377821553
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	0.2396944302119666	0.012195973934880654	80	0.9726542780159577	0.26359356065735484	0.035848695668089466	28	0.9511857377821553
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-0.24052302670208592	0.048446525624266046	80	0.32296516279024035	-0.28579623463128323	0.07599574734496582	28	0.40798752470353394
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	0.0003010872888328025	0.005221076858541043	80	0.32296516279024035	0.0004227992180151801	0.010886656988516997	28	0.40798752470353394
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	-0.06872395739388315	0.027437619346354348	80	0.32296516279024035	-0.040900059350545304	0.06950620021404379	28	0.40798752470353394
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	0.00150543644416401	0.026105384292705213	80	0.32296516279024035	0.002113996090075898	0.05443328494258498	28	0.40798752470353394
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	avg_pre	-2.7200464103316335e-15	3.4548657576998025e-14	80	0.9726542780159577	7.771561172376096e-16	1.1580499465147647e-14	28	0.9511857377821554
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	-0.047938886042392825	0.0024391947869761284	80	0.9726542780159577	-0.052718712131471154	0.007169739133617883	28	0.9511857377821554
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	-0.10824921276230208	0.024391947869761274	80	0.9726542780159577	-0.15604747365308858	0.07169739133617883	28	0.9511857377821554
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	-0.23969443021196413	0.01219597393488064	80	0.9726542780159577	-0.26359356065735573	0.03584869566808941	28	0.9511857377821554
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	avg_pre	-0.17817224508107898	0.038369794905715314	80	0.45925343417347486	-0.22858341954140826	0.06005092838943496	28	0.5791355290018556
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	-0.0751760606361692	0.005093581846592871	80	0.45925343417347486	-0.08233264083564049	0.009127053903625133	28	0.5791355290018556
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	-0.2549116471824378	0.01556235450708608	80	0.45925343417347486	-0.2970699594109161	0.02885903244253937	28	0.5791355290018556
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	-0.375880303180846	0.025467909232964353	80	0.45925343417347486	-0.41166320417820246	0.04563526951812566	28	0.5791355290018556
