design	table_group	reform	target	target_key	spec_name	event_time	bin_label	a	b	j	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	13	m13_24	13	24	13	-0.4968489591792542	0.04148794552389574	-11.975742662241132	4.76154575435034e-33	11	80	0.45925343417347486	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	25	m25_120	25	120	25	0.0	0.0			0	80	0.45925343417347486	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-24	pre_24_13	-24	-13	-24	0.07929212848810692	2.0967590854528687e-14	3781651837744.678	0.0	4	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	pre_12_2	-12	-2	-12	4.649058915617843e-15	1.9923276211960493e-14	0.23334811334025898	0.8154911005686954	11	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	0	m0	0	0	0	0.08435008231691087	2.1550924663252134e-14	3913989011373.6797	0.0	1	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	1	m1_3	1	3	1	0.08435008231691572	2.0210273566667267e-14	4173623975878.9814	0.0	3	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	4	m4_6	4	6	4	0.08435008231690946	2.1052019722671962e-14	4006745358787.0566	0.0	3	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	7	m7_12	7	12	7	0.13214834320769805	0.048783895739522624	2.708851788165764	0.006751649312249099	6	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	13	m13_24	13	24	13	0.3711396476616279	2.005414005698697e-14	18506884194833.418	0.0	11	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	25	m25_120	25	120	25	0.0	0.0			0	80	0.9726542780159577	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-24	pre_24_13	-24	-13	-24	-0.21170434670993243	0.021802382515892203	-9.710147345392954	2.729422641336336e-22	4	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	-12	pre_12_2	-12	-2	-12	-0.24052302670208592	0.048446525624266046	-4.964711578442108	6.880324229332212e-07	11	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	0	m0	0	0	0	0.010191245314927766	0.0015873836101859703	6.420152790750945	1.3613763632576434e-10	1	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	1	m1_3	1	3	1	-0.023804862675378402	0.035940078465013986	-0.662348656209845	0.5077478007561973	3	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	4	m4_6	4	6	4	-0.10806721443968748	0.012637224670227886	-8.551499024487843	1.2150010290362648e-17	3	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	7	m7_12	7	12	7	-0.07151187623023336	0.04935660311518571	-1.4488816433202039	0.1473706383654535	6	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	13	m13_24	13	24	13	0.07173483028221117	0.0365428271175595	1.9630344978903198	0.04964216564958717	11	80	0.32296516279024035	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	25	m25_120	25	120	25	0.0	0.0			0	80	0.32296516279024035	HC1
