terminal,k,beta,se,t,p,ci_lo,ci_hi,n_k
Legacy,-8,0.6335558157834376,0.03570188726321645,17.74572338746328,1.8598961516313435e-70,0.5635801167475333,0.7035315148193418,19
Legacy,-7,0.08557675347019598,0.01489238700038666,5.746342306842691,9.119459922751469e-09,0.05638767494943814,0.11476583199095383,2
Legacy,-6,0.008423687726900692,0.14034357262311573,0.0600218988975149,0.9521381933337574,-0.2666497146144061,0.28349709006820756,2
Legacy,-5,1.1846371734908832,0.31942396635357745,3.708667157991464,0.0002083530940648676,0.5585661994378713,1.8107081475438949,2
Legacy,-4,-0.05830163676623229,0.1903109323559052,-0.30634938331971884,0.7593386429791344,-0.4313110641838065,0.3147077906513419,2
Legacy,-3,0.056313379995687196,0.13008132537645903,0.4329090269699719,0.6650808617739589,-0.1986460177421725,0.3112727777335469,2
Legacy,-2,0.013211795069490662,0.1208731824604548,0.10930294710998503,0.9129622091470901,-0.22369964255300073,0.25012323269198206,2
Legacy,0,-2.5271659889036586,2.4871839727100253,-1.016075214633226,0.30959357078144334,-7.402046575415309,2.3477145976079914,1
Legacy,1,0.6840271202491622,0.5712254195468736,1.1974731810635615,0.2311221747137101,-0.43557470206271,1.8036289425610343,1
Legacy,2,0.30459675480032034,0.20984777767021623,1.4515128927360181,0.14663709480504364,-0.10670488943330347,0.7158983990339441,1
Legacy,3,0.19034139169247788,0.10400464591054577,1.8301239336576387,0.06723140882793979,-0.01350771429219183,0.3941904976771476,1
Legacy,4,0.3225648617490147,0.09264364158601134,3.4817808996588515,0.000498091058667284,0.1409833242404325,0.504146399257597,1
