k,beta_se,n_k
-8,0.634 (0.036),19
-7,0.086 (0.015),2
-6,0.008 (0.140),2
-5,1.185 (0.319),2
-4,-0.058 (0.190),2
-3,0.056 (0.130),2
-2,0.013 (0.121),2
0,-2.527 (2.487),1
1,0.684 (0.571),1
2,0.305 (0.210),1
3,0.190 (0.104),1
4,0.323 (0.093),1
