role,coef,se,p_crv,p_wild,N,post_window
entrant,0.20776874349294927,0.5051973929293064,0.6808800627522114,0.75,72,"[1,4]"
legacy,0.32062542179174447,0.46742251044386474,0.49274875262928564,0.5,72,"[1,4]"
