terminal,k,beta,se,t,p,ci_lo,ci_hi,n_k
SIPG,-8,0.754543653525636,0.028543921957393352,26.43447717702986,5.503730125015859e-154,0.6985975664891451,0.810489740562127,7
SIPG,-7,0.11998060503989277,0.04769328291400162,2.515670922805553,0.011880605433960193,0.026501770528449597,0.21345943955133595,1
SIPG,-6,0.20080561450067363,0.12039612288391821,1.66787442727108,0.09534065714635123,-0.035170786351806066,0.4367820153531533,1
SIPG,-5,0.11257848946272594,0.04103501181900494,2.743474035277026,0.006079285568328301,0.03214986629747625,0.19300711262797565,1
SIPG,-4,0.18180921180274046,0.10330868380329028,1.7598637898525817,0.07843090414471449,-0.020675808451708494,0.3842942320571894,1
SIPG,-3,0.11988066277338386,0.04760338392534438,2.518322289049677,0.011791537034937984,0.026578030279708884,0.21318329526705881,1
SIPG,-2,0.15453413326223864,0.07877449960057438,1.9617278947603987,0.04979417239357178,0.00013611404511285063,0.30893215247936445,1
SIPG,0,-2.8057909216981027,2.5074649034293572,-1.118975152099133,0.2631507396845598,-7.7204221324196425,2.108840289023437,1
SIPG,1,0.8197151242070921,0.7537111561080218,1.0875719664810304,0.2767841120642184,-0.6575587417646305,2.2969889901788147,1
SIPG,2,0.4020797531709446,0.37804429570452147,1.0635784159145445,0.28751972451462937,-0.3388870664099175,1.1430465727518067,1
SIPG,3,0.3021915850385042,0.2881939690411702,1.0485701211718776,0.29437601349309295,-0.26266859428218936,0.8670517643591977,1
SIPG,4,0.22250225434209236,0.049912467725371265,4.457849200451195,8.27861061388061e-06,0.12467381760036468,0.32033069108382006,1
