port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Haifa	Haifa-Legacy	2021	Q3	349371.975198281	4060207.5	7364.2102702476595	47.441879356675614
Haifa	Haifa-Legacy	2021	Q4	351457.887348166	4224779.5	7662.703096684534	45.86604529937136
Haifa	Haifa-Legacy	2022	Q1	354496.0	4248435.798	9360.999337008414	37.86946107329709
Haifa	Haifa-Legacy	2022	Q2	318193.0	3296997.828	7264.601832174416	43.80047349474067
Haifa	Haifa-Legacy	2022	Q3	240017.0	2017959.724	4446.370508262457	53.98043180476952
Haifa	Haifa-Legacy	2022	Q4	157894.0	774599.4709999999	1706.7517268100346	92.51140486326513
Haifa	Haifa-Legacy	2023	Q1	170270.0	227730.07599999988	1107.2037945502143	153.78379376776772
Haifa	Haifa-Legacy	2023	Q2	191550.0	708632.5560000002	3445.3097663965027	55.59732302397436
Haifa	Haifa-Legacy	2023	Q3	176997.0	853088.084	4147.639961663967	42.67414762032325
Haifa	Haifa-Legacy	2023	Q4	193275.0	1283548.1970000002	6240.499538613805	30.971078325395077
Haifa	Haifa-Legacy	2024	Q1	164873.0	829953.1479999998	2814.3999711436145	58.58193635960167
Haifa	Haifa-Legacy	2024	Q2	147928.0	965372.027	3273.6100965203564	45.188032672931406
Haifa	Haifa-Legacy	2024	Q3	172710.0	1427507.0990000002	4840.726187875012	35.678531132911786
Haifa	Haifa-Legacy	2024	Q4	162259.0	1436296.702	4870.532037143945	33.31443028452963
