company	year	deflator	I_real_kNIS	K_gross_real_kNIS	K_PIM_real_low	Dep_PIM_real_low	K_PIM_real_central	Dep_PIM_real_central	K_PIM_real_high	Dep_PIM_real_high
SIPG Haifa Bayport	2018	0.9934449703115104	13617.054458240887	13964.219978808664	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2019	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2020	1.012793420343926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2021	1.047769668041202	632930.2743236977	1634748.1333216492	1278552.20836871	0.0	1278552.20836871	0.0	1278552.20836871	0.0
SIPG Haifa Bayport	2022	1.0964912223792362	0.0	1217516.7184556744	1227410.1200339615	51142.088334748405	1201839.0758665872	76713.1325021226	1176268.0316992132	102284.17666949681
SIPG Haifa Bayport	2023	1.1715000986796444	0.0	1187981.7273066298	1178313.715232603	49096.40480135846	1129728.7313145918	72110.34455199524	1082166.5891632761	94101.44253593705
SIPG Haifa Bayport	2024	1.2357684725721207	8511.63609571515	1121429.7905921023	1131181.1666232988	47132.54860930412	1061945.0074357162	67783.7238788755	995593.2620302141	86573.32713306209
