company,year,ppe_net_nom,additions_nom,depr_nom,disposals_nom,deflator,K_book_real,I_real,depr_real,disposals_real
Israel Ports Company (Haifa cluster),2018,11516612,1501921,215476,0,0.9934449703115105,11592601.849288927,1511831.0977295993,216897.77133043823,0.0
Israel Ports Company (Haifa cluster),2019,12513932,1100386,224640,1923,1.0,12513932.0,1100386.0,224640.0,1923.0
Israel Ports Company (Haifa cluster),2020,12866069,560898,238299,4497,1.012793420343926,12703547.181053882,553812.8395517513,235288.850829104,4440.194722506098
Israel Ports Company (Haifa cluster),2021,13209796,419197,282698,0,1.047769668041202,12607538.090595445,400085.06906263647,269809.2993362767,0.0
Israel Ports Company (Haifa cluster),2022,13143607,214152,521974,13260,1.096491222379236,11986969.646214012,195306.6250136681,476040.2904707142,12093.120062764947
Israel Ports Company (Haifa cluster),2023,13105194,449072,530952,22630,1.1715000986796444,11186677.674863528,383330.74022454873,453224.03352625994,19317.11318292287
Israel Ports Company (Haifa cluster),2024,12829411,247552,535800,5462,1.235768472572121,10381727.066799933,200322.31400494202,433576.3631230931,4419.921790553069
