year	fx_avg_nis_per_rmb
2018	0.5436191570881226
2019	0.5157655172413793
2020	0.49811374045801526
2021	0.5003785440613028
2022	0.4986484615384615
2023	0.5198361538461538
2024	0.513706106870229
