port	company	operator_or_owner	month	year	K_PIM_lin_central	K_PIM_lin_high	K_PIM_lin_low
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-05-01	2022	1246239.4549082373	1235200.7323164484	1257141.317038627
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-06-01	2022	1239707.4316068368	1226484.2797483425	1252790.2627545553
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-07-01	2022	1233418.71862712	1218107.5727319606	1248593.904057704
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-08-01	2022	1226953.893766436	1209511.7416230713	1244272.4329695443
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-09-01	2022	1220522.9535548564	1200976.5687960174	1239965.918795963
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-10-01	2022	1214331.5584366412	1192774.0756891302	1235812.5166489044
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-11-01	2022	1207966.7767696073	1184357.0157059217	1231535.2828391541
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2022-12-01	2022	1201839.0758665872	1176268.0316992123	1227410.1200339624
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-01-01	2023	1195539.77213553	1167967.4500711092	1223161.9675083065
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-02-01	2023	1189273.485493277	1159725.4432350674	1218928.5181365388
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-03-01	2023	1183641.8486147032	1152331.0523698325	1215117.352755607
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-04-01	2023	1177437.923594344	1144199.3870477919	1210911.746359813
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-05-01	2023	1171465.0876137437	1136384.6737311322	1206855.6643570813
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-06-01	2023	1165324.9857104272	1128365.5373684769	1202678.6522443746
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-07-01	2023	1159413.595509493	1120658.9669134053	1198650.1478953972
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-08-01	2023	1153336.6601404503	1112750.8022932273	1194501.5356507641
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-09-01	2023	1147291.5763415655	1104898.4432923377	1190367.2820441239
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-10-01	2023	1141471.664930443	1097352.1496340013	1186380.0159829478
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-11-01	2023	1135488.7701634313	1089608.4544494497	1182273.8715255873
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2023-12-01	2023	1129728.7313145923	1082166.5891632768	1178313.7152326033
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-01-01	2024	1123823.521989615	1074550.845324187	1174246.612250697
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-02-01	2024	1117949.1798066383	1066988.6972575076	1170193.5474035032
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-03-01	2024	1112481.6287425093	1059962.6161792618	1166414.6365070082
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-04-01	2024	1106666.5718126285	1052503.1327275743	1162388.604742337
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-05-01	2024	1101068.0399443477	1045334.264833849	1158505.6766587035
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-06-01	2024	1095312.643027651	1037977.7283570085	1154506.9436971988
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-07-01	2024	1089771.5497174254	1030907.7967056559	1150650.3440917484
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-08-01	2024	1084075.200727524	1023652.7864511801	1146678.7248318782
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-09-01	2024	1078408.6271449758	1016448.8333076902	1142720.81413224
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-10-01	2024	1072953.0498104123	1009525.5404640574	1138903.5857777603
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-11-01	2024	1067344.6128649956	1002421.0077680928	1134972.5119814212
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2024-12-01	2024	1061945.0074357153	995593.2620302144	1131181.1666232985
