port	company	operator_or_owner	month	year	imputed_2022	flows_imputed_annual	gap_years_from_prev_annual	K_PathB_central	K_big_central	K_bg_central	K_PIM_real_central	gap_PathB_minus_PIM_central	lumpy_event_month	num_projects_commissioned	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	K_PIM_real_low	K_PIM_real_high	flows_imputed_flag	gap_years_from_prev
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-03-01	2021	0	False	1	1106161.3211704209	469652.67934284336	636508.6418275775			0	0	1156328.3413901974	1106349.6569659696	1057733.031807735				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-04-01	2021	0	False	1	1106630.166026719	468231.4871955288	638398.67883119			0	0	1158519.044880789	1106816.167040683	1056621.767039542				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-05-01	2021	0	False	1	1107047.685975311	466814.5956456737	640233.0903296374			0	0	1160639.0805168457	1107267.6284033088	1055546.3495219357				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-06-01	2021	0	False	1	1107536.178321293	465401.9916794582	642134.1866418349			0	0	1162829.784007437	1107734.1384780223	1054435.084753743				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-07-01	2021	0	False	1	1107972.9942858168	463993.66232244286	643979.3319633738			0	0	1164949.8196434935	1108185.5998406482	1053359.6672361365				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-08-01	2021	0	False	1	1108481.1469357286	462589.5946394498	645891.5522962789			0	0	1167140.5231340851	1108652.1099153615	1052248.402467943				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-09-01	2021	0	False	1	1108999.2264753617	461189.77573444345	647809.4507409183			0	0	1169331.2266246767	1109118.619990075	1051137.1376997498				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-10-01	2021	0	False	1	1109465.0964432985	459794.19275041216	649670.9036928863			0	0	1171451.262260733	1109570.081352701	1050061.7201821436				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-11-01	2021	0	False	1	1110002.8573430022	458402.8328692505	651600.0244737517			0	0	1173641.9657513243	1110036.5914274142	1048950.4554139504				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-12-01	2021	0	False	1	1110488.0527900404	457015.68331164104	653472.3694783994	1110488.0527900402	2.3283064365386963e-10	0	0	1175762.001387381	1110488.0527900402	1047875.037896344	1175762.001387381	1047875.037896344	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-01-01	2022	1	False	0	1104494.297887552	455632.7313369373	648861.5665506148			0	0	1175310.3537395785	1108461.729633312	1044502.8562591232				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-02-01	2022	1	False	0	1098537.260999077	454253.9642430465	644283.2967560304			0	0	1174858.7060917756	1106435.4064765836	1041130.674621902				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-03-01	2022	1	False	0	1093055.226646721	452879.3693663132	640175.8572804077			0	0	1174450.7662808571	1104605.1791092162	1038084.833143122				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-04-01	2022	1	False	0	1087167.8066277788	451508.9340814027	635658.872546376			0	0	1173999.1186330544	1102578.8559524878	1034712.651505901				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-05-01	2022	1	False	0	1081460.5907002075	450142.64580118516	631317.9448990223			0	0	1173562.0402642132	1100617.89805888	1031449.2499214936				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-06-01	2022	1	False	0	1075643.9522414617	448780.4919766203	626863.4602648414			0	0	1173110.3926164105	1098591.5749021517	1028077.0682842728				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-07-01	2022	1	False	0	1070005.056767336	447422.4600966412	622582.5966706949			0	0	1172673.3142475693	1096630.6170085436	1024813.6666998654				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-08-01	2022	1	False	0	1064258.2850301443	446068.53768804076	618189.7473421034			0	0	1172221.6665997666	1094604.2938518152	1021441.4850626444				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-09-01	2022	1	False	0	1058546.6056141942	444718.712315356	613827.8932988383			0	0	1171770.018951964	1092577.970695087	1018069.3034254236				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-10-01	2022	1	False	0	1053009.0214430909	443372.9715807545	609636.0498623365			0	0	1171332.940583123	1090617.0128014788	1014805.901841016				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-11-01	2022	1	False	0	1047365.8525481706	442031.30312391993	605334.5494242507			0	0	1170881.29293532	1088590.689644751	1011433.7202037952				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-12-01	2022	1	False	0	1041894.4018314682	440693.6946219393	601200.7072095289			0	0	1170444.2145664787	1086629.7317511423	1008170.3186193878				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-01-01	2023	0	True	2	1036318.8590719233	439360.1337891893	596958.725282734			0	0	1169992.566918676	1084603.4085944144	1004798.1369821668				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-02-01	2023	0	True	2	1030777.2825207527	438030.60837722314	592746.6741435296			0	0	1169540.9192708733	1082577.0854376862	1001425.955344946				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-03-01	2023	0	True	2	1025672.8974871722	436705.1061746589	588967.7913125133			0	0	1169132.979459955	1080746.8580703186	998380.1138661656				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-04-01	2023	0	True	2	1020195.7380107238	435383.6150070667	584812.1230036571			0	0	1168681.3318121522	1078720.5349135904	995007.9322289448				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-05-01	2023	0	True	2	1014884.5516022027	434066.1227368569	580818.4288653458			0	0	1168244.2534433107	1076759.5770199825	991744.5306445374				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-06-01	2023	0	True	2	1009472.8784975543	432752.61726316926	576720.2612343851			0	0	1167792.605795508	1074733.253863254	988372.3490073164				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-07-01	2023	0	True	2	1004224.9131099771	431443.0865217609	572781.8265882162			0	0	1167355.5274266668	1072772.295969646	985108.9474229092				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-08-01	2023	0	True	2	998877.882501217	430137.51848489617	568740.3640163208			0	0	1166903.879778864	1070745.9728129178	981736.7657856882				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-09-01	2023	0	True	2	1078923.9601094879	514196.54271193355	564727.4173975543			1	1	1166452.2321310616	1068719.6496561894	978364.5841484672				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-10-01	2023	0	True	2	1073551.1359786142	512680.2538474984	560870.8821311159			0	0	1166015.1537622202	1066758.6917625817	975101.18256406				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-11-01	2023	0	True	2	1068081.9130826779	511168.45168765757	556913.4613950204			0	0	1165563.5061144177	1064732.368605853	971729.000926839				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-12-01	2023	0	True	2	1062771.4107122452	509661.12291577563	553110.2877964695	1062771.4107122452	0.0	0	0	1165126.4277455762	1062771.4107122452	968465.5993424316	1165126.4277455762	968465.5993424316	True	2.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-01-01	2024	0	True	1	1043613.7201084215	508158.2542548473	535455.4658535742			0	0	1165368.369481011	1061559.8058533622	966092.6833839738				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-02-01	2024	0	True	1	1025024.0036613366	506659.83246737905	518364.17119395756			0	0	1165610.311216446	1060348.2009944797	963719.7674255158				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-03-01	2024	0	True	1	1008035.6081250604	505165.8443552714	502869.7637697891			0	0	1165836.643807659	1059214.7641910084	961499.9428192164				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-04-01	2024	0	True	1	990494.8544718404	503676.27675970114	486818.57771213923			0	0	1166078.5855430935	1058003.1593321254	959127.0268607588				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-05-01	2024	0	True	1	973964.2736844043	502191.1165610044	471773.1571233999			0	0	1166312.7227064178	1056830.6385009484	956830.65657838				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-06-01	2024	0	True	1	957424.899654147	500710.3506785601	456714.54897558683			0	0	1166554.6644418524	1055619.0336420657	954457.740619922				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-07-01	2024	0	True	1	1063215.4381106698	620615.926631449	442599.51147922076			1	1	1166788.8016051764	1054446.5128108887	952161.3703375435				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-08-01	2024	0	True	1	1047248.7044220229	618776.6025021294	428472.1019198936			0	0	1167030.7433406112	1053234.9079520055	949788.4543790856				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-09-01	2024	0	True	1	1031738.3727360142	616942.745171769	414795.6275642451			0	0	1167272.685076046	1052023.3030931228	947415.5384206276				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-10-01	2024	0	True	1	1017090.4578672072	615114.3383513273	401976.1195158799			0	0	1167506.82223937	1050850.782261946	945119.1681382492				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-11-01	2024	0	True	1	1002436.7407578684	613291.3658004053	389145.3749574632			0	0	1167748.763974805	1049639.177403063	942746.2521797912				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2024-12-01	2024	0	True	1	1048466.6565718863	671348.0531972036	377118.60337468266	1048466.656571886	2.3283064365386963e-10	0	0	1167982.9011381287	1048466.656571886	940449.8818974126	1167982.9011381287	940449.8818974126	True	1.0
