company	year	ppe_net_nom	additions_nom	depr_nom	disposals_nom	purchase_of_intangible_assets_thousands_nis_cashflow	revaluation_or_basis_flag	source_pdf	source_pages	units_note	deflator	K_book_real	I_real	depr_real	disposals_real
Haifa Port Company (legacy)	2017		25025.0	67739.0	1688.0	1763.0		files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf			0.9650859704693122		25930.332390834134	70189.60183107745	1749.0669760530675
Haifa Port Company (legacy)	2018	1163539.0	-30896.0	67012.0	1759.0	-1113.0		files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position pp. 8–9; CF pp. 12–13; Cost/OpDep p. 73; Admin D&A p. 74	Thousands of NIS, as reported	0.9934449703115105	1171216.3579983236	-31099.86050894401	67454.16404794653	1770.606377370291
Haifa Port Company (legacy)	2019	1010641.0	-25025.0	67739.0	1688.0	-1763.0		files_privatizations_hifa-port_eng_HaifaPort_FinancialStatment_HPC_2019-eng.pdf	FS position pp. 8–9; CF pp. 12–13; Cost/OpDep p. 73; Admin D&A p. 74	Thousands of NIS, as reported	1.0	1010641.0	-25025.0	67739.0	1688.0
Haifa Port Company (legacy)	2023	966652.0	95529.0	68663.0		1747.0		Haifa Port Company Ltd.pdf			1.1715000986796444	825140.3487626493	81544.16726696592	58611.1773079555	
Haifa Port Company (legacy)	2024	8.0	61123.0	63266.0		2337.0		Haifa Port Company Ltd.pdf			1.235768472572121	6.473704563241404	49461.53050237554	51195.67411225384	
