company	year	deflator	I_real_kNIS	K_gross_real_kNIS	K_PIM_real_low	Dep_PIM_real_low	K_PIM_real_central	Dep_PIM_real_central	K_PIM_real_high	Dep_PIM_real_high
SIPG Haifa Bayport	2018	0.9934449703115104	13617.054458240887	13964.219978808664	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2019	1.0	0.0	551634.8741088883	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2020	1.012793420343926	531822.3864728586	1058650.4055893773	4425.189502838618	0.0	4425.189502838618	0.0	4425.189502838618	0.0
SIPG Haifa Bayport	2021	1.047769668041202	632930.2743236977	1639045.0514622324	1282800.3902914352	177.00758011354472	1282711.8865013784	265.5113701703171	1282623.3827113216	354.01516022708944
SIPG Haifa Bayport	2022	1.0964912223792362	121741.60421033933	1650069.7020628755	1659949.5663055857	51312.01561165741	1634210.3649371038	76962.7131900827	1608474.703720224	102609.87061690573
SIPG Haifa Bayport	2023	1.1715000986796444	0.0	1610041.6734477528	1593551.5836533622	66397.98265222342	1536157.7430408774	98052.62189622622	1479796.7274226062	128677.97629761793
SIPG Haifa Bayport	2024	1.2357684725721207	8511.63609571515	1516821.5424594984	1529809.5203072277	63742.06334613449	1443988.2784584246	92169.46458245264	1361412.9892287978	118383.7381938085
