company	year	deflator	budget_rmb	cip_opening_rmb	cip_closing_rmb	I_RMB	T_RMB	E_RMB	I_real_kNIS	T_real_kNIS	K_completed_real_kNIS	K_gross_real_kNIS
SIPG Haifa Bayport	2018	0.9934449703115105	4980000000.0	634432.83	25519122.94	24884690.11	0.0	0.0	13617.054458240887	0.0	0.0	13964.219978808664
SIPG Haifa Bayport	2019	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2020	1.012793420343926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SIPG Haifa Bayport	2021	1.047769668041202	4977300000.0	2143511161.59	745857891.94	1325326897.5900002	2677229547.18	11984163.14	632930.2743236977	1278552.20836871	1278552.20836871	1634748.1333216492
SIPG Haifa Bayport	2022	1.0964912223792362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1217516.7184556744	1217516.7184556744
SIPG Haifa Bayport	2023	1.1715000986796444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1187981.7273066298	1187981.7273066298
SIPG Haifa Bayport	2024	1.2357684725721207	28000000.0	0.0	20475543.11	20475543.11	0.0	0.0	8511.63609571515	0.0	1112918.1544963873	1121429.7905921023
