port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-06-01	2019	13064286.982805494	12939339.253773548	12813120.27638655	1159404.613948323	1147556.4791539412	1135538.5122810337	11904882.368857171	11791782.774619607	11677581.764105516	13064286.982805494	12939339.253773548	12813120.27638655
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-07-01	2019	13114620.347983835	12968634.51609541	12821408.217931937	1157461.5565584511	1143692.731990658	1129759.0924017322	11957158.791425385	11824941.784104751	11691649.125530206	13114620.347983835	12968634.51609541	12821408.217931937
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-08-01	2019	13166907.443568692	12999048.533643642	12830053.556154948	1155488.5102024933	1139744.4780604609	1123850.3539878898	12011418.933366198	11859304.05558318	11706203.202167058	13166907.443568692	12999048.533643642	12830053.556154948
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-09-01	2019	13219444.846820155	13029576.110208822	12838749.931006283	1153519.5455446846	1135809.9293193764	1117974.5348996297	12065925.301275471	11893766.180889446	11720775.396106653	13219444.846820155	13029576.110208822	12838749.931006283
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-10-01	2019	13270497.458141126	13059197.871645138	12847184.806985188	1151588.566588818	1131985.8994665574	1112290.0163836123	12118908.891552309	11927211.97217858	11734894.790601576	13270497.458141126	13059197.871645138	12847184.806985188
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-11-01	2019	13323530.729321344	13089949.700635994	12855981.208586456	1149627.693416324	1128078.268541962	1106478.5079907852	12173903.03590502	11961871.432094032	11749502.700595671	13323530.729321344	13089949.700635994	12855981.208586456
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2019-12-01	2019	13375065.478995746	13119789.114850037	12864512.750704287	1147704.70367839	1124280.376518424	1100856.049358457	12227360.775317356	11995508.738331612	11763656.70134583	13375065.478995746	13119789.114850037	12864512.750704287
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-01-01	2020	13363933.52916758	13086722.888533028	12809952.717088379	1131478.7046260603	1105738.0108498854	1079991.112282096	12232454.824541518	11980984.877683142	11729961.604806283	13363933.52916758	13086722.888533028	12809952.717088379
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-02-01	2020	13353083.015992241	13054053.915267166	12755988.772966428	1115532.0199911497	1087575.3131069066	1059625.7505323526	12237550.99600109	11966478.602160258	11696363.022434074	13353083.015992241	13054053.915267166	12755988.772966428
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-03-01	2020	13343124.961224297	13023787.158617629	12705976.875125207	1100804.656961448	1070863.0421612624	1040957.6545397784	12242320.304262849	11952924.116456367	11665019.220585428	13343124.961224297	13023787.158617629	12705976.875125207
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-04-01	2020	13332805.215109393	12991864.422751844	12653131.160627214	1085384.6293226453	1053412.606553563	1021524.5054329756	12247420.585786749	11938451.81619828	11631606.655194238	13332805.215109393	12991864.422751844	12653131.160627214
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-05-01	2020	13323043.855901813	12961298.844833707	12602494.502274385	1070685.49068782	1036835.7963387432	1003131.4611581976	12252358.365213994	11924463.048494965	11599363.041116187	13323043.855901813	12961298.844833707	12602494.502274385
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-06-01	2020	13313245.095708203	12930104.914265295	12550739.249515355	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	13313245.095708203	12930104.914265295	12550739.249515355
Haifa	Haifa cluster (HPC + IPC)	Haifa port cluster (HPC + IPC)	2020-07-01	2020	13303979.28518599	12900230.729040321	12501136.258074343	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	13303979.28518599	12900230.729040321	12501136.258074343
