company,year,K_book_real,I_real,depr_real,disposals_real,K_PIM_real_low,K_PIM_real_central,K_PIM_real_high,gap_book_minus_PIM_central,flows_imputed_flag,gap_years_from_prev
Israel Ports Company (Haifa cluster),2018,11592601.849288927,1511831.097729599,216897.77133043823,0.0,11592601.849288927,11592601.849288927,11592601.849288927,0.0,False,0
Israel Ports Company (Haifa cluster),2019,12513932.0,1100386.0,224640.0,1923.0,12227360.775317369,11995508.738331592,11763656.701345814,518423.2616684083,False,1
Israel Ports Company (Haifa cluster),2020,12703547.181053882,553812.8395517513,235288.850829104,4440.194722506098,12287638.989133919,11825150.858860942,11371936.810067395,878396.3221929409,False,1
Israel Ports Company (Haifa cluster),2021,12607538.090595445,400085.06906263647,269809.2993362767,0.0,12196218.498631198,11515726.876391921,10862266.93432464,1091811.2142035235,False,1
Israel Ports Company (Haifa cluster),2022,11986969.646214012,195306.6250136681,476040.2904707142,12093.120062764949,11891583.263636854,11007996.768759308,10176499.084529573,978972.8774547037,False,1
Israel Ports Company (Haifa cluster),2023,11186677.674863528,383330.74022454873,453224.03352625994,19317.11318292287,11779933.560133006,10711530.589675376,9726392.784808835,475147.08518815227,False,1
Israel Ports Company (Haifa cluster),2024,10381727.066799931,200322.314004942,433576.3631230931,4419.921790553069,11504638.609942075,10264741.146509243,9144183.754238518,116985.92029068805,False,1
