year	K_PIM_real_central	K_PathB_central_dec	gap_dec	K_big_dec	share_big_in_total_dec
2018	1171216.3579983236	1171216.3579983232	-4.656612873077393e-10	252059.43749244767	0.21521167781777903
2019	1124280.376518424	1124280.376518424	0.0	244678.37036458202	0.21763109583241258
2020	1104995.272878092	1104995.2728780915	-4.656612873077393e-10	237525.01316253515	0.21495568261018258
2021	1110488.0527900402	1110488.05279004	-2.3283064365386963e-10	230591.94580825683	0.20764919102813154
2022	1043858.7696226377	1043858.7696226379	2.3283064365386963e-10	223872.00281884402	0.21446579684316422
2023	1062771.4107122452	1062771.4107122454	2.3283064365386963e-10	302064.7529939835	0.2842236344987362
2024	1048466.656571886	1048466.6565718863	2.3283064365386963e-10	293183.67206445854	0.2796308973935948
