entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa--Bayport	Haifa	Haifa-Bayport	2024	9.0	202409.0	13	52.03456625237276	3.9519082333651174	1426758.6406917055	853.4760131009494	1671.703268505272	7.421598306905137	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	12.0	202412.0	14	51.061468522468395	3.9330301721218164	1394538.6050647062	921.5288489409972	1513.288061103331	7.322040086349318	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2021	9.0	202109.0	1	47.441879356675614	3.8595053693490575	977693.677617832	2339.7149405974196	417.86871582235955	6.035167306212251	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2021	12.0	202112.0	2	45.86604529937136	3.8257250894872907	998894.4404558504	2543.69985097222	392.6935169155536	5.973029452447316	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2022	3.0	202203.0	3	37.86946107329709	3.6341450108459012	982415.9084161858	3257.5131028419605	301.584637544234	5.709050698312069	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2022	6.0	202206.0	4	43.80047349474067	3.7796446277061757	978426.3685483016	2261.804189354163	432.5866815321808	6.069782726018169	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2022	9.0	202209.0	5	53.98043180476952	3.988621606905206	986620.4081295287	1095.3306057437048	900.7512462044604	6.803229133145936	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2022	12.0	202212.0	6	92.51140486326511	4.527331932737157	1006700.087987017	338.53238043785177	2973.718752353819	7.997568553736426	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2023	3.0	202303.0	7	153.78379376776772	5.035547679398365	992329.2366439505	17.07777536681913	58106.46968527141	10.970032290948168	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2023	6.0	202306.0	8	55.59732302397436	4.01813505304661	993855.2932827842	1360.868849316891	730.3093856411402	6.5934682603045935	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2023	9.0	202309.0	9	42.67414762032325	3.753593294733475	1011007.8629560434	795.808395715671	1270.416181079421	7.147099827407522	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2023	12.0	202312.0	10	30.971078325395077	3.4330538117643408	1043522.4698601488	1525.254344654962	684.1629224116133	6.528196079919912	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2024	3.0	202403.0	11	58.58193635960167	4.07042639581405	1020384.3310766582	563.3568971491534	1811.257368535426	7.501776561831131	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2024	6.0	202406.0	12	45.188032672931406	3.8108322879088443	999925.6685229158	1282.8319886283505	779.4673639157313	6.658610819649222	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2024	9.0	202409.0	13	35.678531132911786	3.574549139064834	982115.7961754058	1719.0945816656808	571.2982907687401	6.347911473898075	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2024	12.0	202412.0	14	33.31443028452963	3.5059906449986893	966924.8623706296	1431.111565355251	675.6460403075603	6.51566932989941	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
