design	table_group	reform	target	target_key	spec_name	event_time	j	beta	se	t	pvalue	n_event_obs	n_obs	r2
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	9	9	2.789482953244807	4.965068306494454e-15	561821667104978.6	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	10	10	2.3487255303386436	5.85793900421569e-15	400947420013826.3	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	11	11	2.3487255303386467	7.40444683368442e-15	317204726172627.7	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	12	12	2.348725530338652	4.905125646631401e-15	478830859705223.1	0.0	1.0	76	1.0
NYT	competition	haifa_comp	Haifa-Legacy	haifa_legacy	baseline	13	13	2.477439580392691	4.28264124651929e-15	578484033049984.4	0.0	1.0	76	1.0
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-12	-12	0.29968087048967806	0.20349878246165956	1.472642081021491	0.14084757162375355	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-11	-11	0.29968087048967296	0.20349878246165792	1.472642081021478	0.14084757162375702	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-10	-10	0.2996808704896736	0.20349878246165778	1.4726420810214822	0.14084757162375594	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-9	-9	0.20802891523474842	0.14126237319692272	1.4726420810214744	0.14084757162375802	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-8	-8	0.20802891523474543	0.1412623731969231	1.4726420810214491	0.14084757162376482	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-7	-7	0.2080289152347391	0.141262373196922	1.4726420810214158	0.1408475716237738	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-6	-6	-0.08580936670269246	0.05826899000684306	-1.472642081021399	0.14084757162377837	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-5	-5	-0.08580936670269473	0.05826899000684313	-1.4726420810214362	0.14084757162376832	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-4	-4	-0.08580936670268713	0.058268990006842755	-1.472642081021315	0.14084757162380096	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-3	-3	-1.193942688374521e-16				1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	-2	-2	1.7763568394002505e-15	5.480773072884728e-16	3.241069855981631	0.001190819987213703	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	0	0	0.30295294713199095	0.2057206914268353	1.4726420810214726	0.14084757162375847	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	1	1	0.30295294713198584	0.2057206914268349	1.4726420810214504	0.1408475716237645	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	2	2	0.3029529471319883	0.2057206914268354	1.4726420810214589	0.14084757162376219	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	3	3	-0.00743080409571012	0.0050458996055296615	-1.4726420810209755	0.14084757162389266	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	4	4	-0.007430804095711174	0.005045899605529423	-1.472642081021254	0.14084757162381753	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	5	5	-0.007430804095710841	0.005045899605529316	-1.472642081021219	0.14084757162382694	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	6	6	0.032958163973647814	0.022380294844477913	1.4726420810215497	0.1408475716237377	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	7	7	0.03295816397364937	0.022380294844478187	1.4726420810216012	0.1408475716237238	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	8	8	0.032958163973646926	0.022380294844479013	1.4726420810214376	0.14084757162376796	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-12	-12	0.2996808704896692	0.20349878246166	1.4726420810214442	0.14084757162376618	1.0	84	0.9844372404464239
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	-11	-11	0.2996808704896643	0.2034987824616582	1.4726420810214333	0.14084757162376915	1.0	84	0.9844372404464239
