table_group	reform	reform_order	binned_variant	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	supported_full_window	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main_detailed	competition	1	detailed	post_full	Average full post, months 1-24	5	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1	0.16377457813439	0.017859168753203567	0.0	37	0.4478680173049986	1.0	24.0	24.0	0.164*** (0.018)
main_detailed	competition	1	detailed	post_full	Average full post, months 1-24	5	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1	0.44135478447117743	0.1934242010081846	0.022501321005265584	37	0.5047644405201261	1.0	24.0	24.0	0.441** (0.193)
main_detailed	competition	1	detailed	pretrend_p	Pretrend test p-value	6	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	1			7.297496413017154e-07	37	0.5341517611203004			2.0	0.000
main_detailed	competition	1	detailed	pretrend_p	Pretrend test p-value	6	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1			0.19870282746324205	37	0.5445816259437768			2.0	0.199
main_detailed	competition	1	detailed	pretrend_p	Pretrend test p-value	6	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1			4.041445839302506e-06	37	0.4478680173049986			2.0	0.000
main_detailed	competition	1	detailed	pretrend_p	Pretrend test p-value	6	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1			0.0022615888236581284	37	0.5047644405201261			2.0	0.002
main_detailed	competition	1	detailed	n_obs	Observations	7	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	1				37	0.5341517611203004				37
main_detailed	competition	1	detailed	n_obs	Observations	7	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1				37	0.5445816259437768				37
main_detailed	competition	1	detailed	n_obs	Observations	7	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1				37	0.4478680173049986				37
main_detailed	competition	1	detailed	n_obs	Observations	7	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1				37	0.5047644405201261				37
main_detailed	competition	1	detailed	r2	R-squared	8	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	1				37	0.5341517611203004				0.534
main_detailed	competition	1	detailed	r2	R-squared	8	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1				37	0.5445816259437768				0.545
main_detailed	competition	1	detailed	r2	R-squared	8	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1				37	0.4478680173049986				0.448
main_detailed	competition	1	detailed	r2	R-squared	8	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1				37	0.5047644405201261				0.505
main_detailed	privatization	2	detailed	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	1	-0.9270640684908067	0.14008791177020716	3.647548929563982e-11	36	0.41666428856793014	-12.0	-2.0	11.0	-0.927*** (0.140)
main_detailed	privatization	2	detailed	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1	-1.2880727708640913	0.2276726448734277	1.535357396775794e-08	36	0.46010742497130364	-12.0	-2.0	11.0	-1.288*** (0.228)
main_detailed	privatization	2	detailed	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1	-0.16166828524163404	0.021815960648551975	1.2567724638756772e-13	36	0.41800816770669413	-12.0	-2.0	11.0	-0.162*** (0.022)
main_detailed	privatization	2	detailed	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1	-0.2473189903950634	0.058441715147061674	2.317343249291781e-05	36	0.4691687136142112	-12.0	-2.0	11.0	-0.247*** (0.058)
main_detailed	privatization	2	detailed	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	1	-0.35083805885746244	0.4542486573651193	0.43990832135737623	36	0.41666428856793014	1.0	6.0	6.0	-0.351 (0.454)
main_detailed	privatization	2	detailed	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1	0.05996494729145274	0.47688589441280294	0.899935555009743	36	0.46010742497130364	1.0	6.0	6.0	0.060 (0.477)
main_detailed	privatization	2	detailed	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	1	-0.21928346973110724	0.08236758683875973	0.007761919222840641	36	0.41800816770669413	1.0	6.0	6.0	-0.219*** (0.082)
main_detailed	privatization	2	detailed	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	1	-0.12181887421168103	0.09985510794280679	0.22248141790978515	36	0.4691687136142112	1.0	6.0	6.0	-0.122 (0.100)
