family	binned_variant	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	supported_full_window	beta	se	pvalue	n_obs	r2
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_7_tail	Average post, months 7-23	7	23	7	23	17	1	-1.2729474881582945	0.24881022394664165	3.118546243463527e-07	36	0.38806326286855153
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	-1.0240993286005697	0.27690274970859435	0.00021695600780202717	36	0.38806326286855153
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.03484245075366932	0.015570012944100464	0.025234620902542915	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.06578569098807652	0.03260547059899164	0.04363008065794438	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.038637888482353056	0.046314261582530165	0.4041374963275637	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	0.34112305752164174	0.014845674605048301	0.0	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	1	0.16377457813439	0.017859168753203567	0.0	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.059599336877631484	0.1334331797857939	0.6551201730013629	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	0.06247528089430876	0.06708504656523011	0.3517062877640549	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.3187702791549618	0.17260090815298	0.06476695796440257	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	0.6920867889177196	0.2715326680047235	0.010808933498175799	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1	0.44135478447117743	0.1934242010081846	0.022501321005265584	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.16166828524163404	0.021815960648551975	1.2567724638756772e-13	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.21928346973110724	0.08236758683875973	0.007761919222840641	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	-0.3027146717313194	0.07286231293648217	3.2583935709151746e-05	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	-0.1219784686705232	0.05930492869645947	0.039705319903660996	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.1945109567021876	0.04954673862660473	8.643927526108541e-05	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.2473189903950634	0.058441715147061674	2.317343249291781e-05	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.12181887421168103	0.09985510794280679	0.22248141790978515	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	-0.16725553245861358	0.10254110194955675	0.10286769601067802	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.15160133700256795	0.20963968832472302	0.469586571971059	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.002905727521457402	0.140841581972465	0.9835398705878298	36	0.4691687136142112
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.029041062380542826	0.019071822730578298	0.12782855590349573	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.21928346973110546	0.08236758683874922	0.007761919222833313	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_tail	Average post, months 7-23	7	23	7	23	17	1	-0.1857677168096279	0.06798253910353994	0.0062840436216320406	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.19451095670218727	0.06178997194197784	0.001644269649485608	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.01935193174464267	0.023808394452680667	0.4163214460275739	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.2483508616388157	0.12016961748090235	0.038765323991211575	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_tail	Average post, months 7-23	7	23	7	23	17	1	-0.406260397598762	0.10461694385583073	0.00010304254414683633	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	-0.3650666056092108	0.10178520414110329	0.000334969780128036	36	0.3090619618617998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0				27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	4.377011832598844	0.12035824623601357	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	3.385036045393929	0.09756989948870662	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	2.9050194196047823	0.03340619609530858	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	1	3.393021679300584	0.0484230588507585	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0				27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	4.305474820161402	0.18813288157606142	0.0	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	3.3153590254223055	0.3518667654106824	0.0	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	3.0555334143429147	0.4800013113335681	1.9442980558892486e-10	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1	3.4329751685673844	0.36833548022245655	0.0	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.647087582888282	0.11760479168168296	3.75035913435795e-08	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.02888648623533907	0.01793548049701789	0.1072717816124853	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.3501313318172836	0.08816017341417964	7.141060680804223e-05	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.4771513632009343	0.03560197408920441	0.0	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.3120058290739976	0.024432342583155155	0.0	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.5401669479847657	0.171376094623835	0.001621903090106347	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	0.09278182244797373	0.15464332201596573	0.548524209915163	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.3016402846472839	0.2942662098341676	0.30533525685612495	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	1	0.4922863487172193	0.5871146186898507	0.4017588011959492	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.33833402080265035	0.3965957987278736	0.3936064451520269	36	0.7604414970245663
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.1430597494557886	0.030397131752859154	2.521829138402154e-06	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.028886486235340403	0.01793548049692942	0.10727178161073647	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_tail	Average post, months 7-23	7	23	7	23	17	1	0.4323207638890585	0.05260635590623676	2.220446049250313e-16	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.31200582907399793	0.04050249956820239	1.3322676295501878e-14	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.08983740780006233	0.04947870321679414	0.06941973451027006	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	0.1307805387318388	0.13480022439879039	0.3319565671799318	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_tail	Average post, months 7-23	7	23	7	23	17	1	0.37341563762791896	0.2608563792927714	0.15228726267582515	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	1	0.3101195248724198	0.22748399001646888	0.1728009982014891	36	0.6030179561847937
