port	year	month	date	L_hours_port
Haifa	2021	3	2021-03-31	2686.68085106383
Haifa	2021	4	2021-04-30	2593.2978723404253
Haifa	2021	5	2021-05-31	2851.297872340426
Haifa	2021	6	2021-06-30	2768.6595744680853
Haifa	2021	7	2021-07-31	2580.950719154392
Haifa	2021	8	2021-08-31	2730.8078815465105
Haifa	2021	9	2021-09-30	2290.201277614755
Haifa	2021	10	2021-10-31	2606.1548363861057
Haifa	2021	11	2021-11-30	2757.3854722550113
Haifa	2021	12	2021-12-31	2757.3854722550113
Haifa	2022	1	2022-01-31	2969.3380083915863
Haifa	2022	2	2022-02-28	2969.3380083915863
Haifa	2022	3	2022-03-31	2969.3380083915863
Haifa	2022	4	2022-04-30	3304.4263011656717
Haifa	2022	5	2022-05-31	3304.4263011656717
Haifa	2022	6	2022-06-30	3304.4263011656717
Haifa	2022	7	2022-07-31	3154.5523981500437
Haifa	2022	8	2022-08-31	3154.5523981500437
Haifa	2022	9	2022-09-30	3154.5523981500437
Haifa	2022	10	2022-10-31	3898.703183843473
Haifa	2022	11	2022-11-30	3898.703183843473
Haifa	2022	12	2022-12-31	3898.703183843473
Haifa	2023	1	2023-01-31	2803.3808012093723
Haifa	2023	2	2023-02-28	2803.3808012093723
Haifa	2023	3	2023-03-31	2803.3808012093723
Haifa	2023	4	2023-04-30	3018.370483749055
Haifa	2023	5	2023-05-31	3018.370483749055
Haifa	2023	6	2023-06-30	3018.370483749055
Haifa	2023	7	2023-07-31	2789.650113378685
Haifa	2023	8	2023-08-31	2789.650113378685
Haifa	2023	9	2023-09-30	2789.650113378685
Haifa	2023	10	2023-10-31	2389.492214663643
Haifa	2023	11	2023-11-30	2389.492214663643
Haifa	2023	12	2023-12-31	2389.492214663643
Haifa	2024	1	2024-01-31	2406.315894308943
Haifa	2024	2	2024-02-29	2406.315894308943
Haifa	2024	3	2024-03-31	2406.315894308943
Haifa	2024	4	2024-04-30	2087.916666666667
Haifa	2024	5	2024-05-31	2087.916666666667
Haifa	2024	6	2024-06-30	2087.916666666667
Haifa	2024	7	2024-07-31	2266.458008130081
Haifa	2024	8	2024-08-31	2266.458008130081
Haifa	2024	9	2024-09-30	2266.458008130081
Haifa	2024	10	2024-10-31	2260.8255284552847
Haifa	2024	11	2024-11-30	2260.8255284552847
Haifa	2024	12	2024-12-31	2260.8255284552847
