port	terminal	year	month	date	L_hours
Ashdod	Ashdod-Legacy	2021	4	2021-04-30	3357.564102564102
Ashdod	Ashdod-Legacy	2021	5	2021-05-31	3588.358974358974
Ashdod	Ashdod-Legacy	2021	6	2021-06-30	3741.358974358974
Ashdod	Ashdod-Legacy	2021	7	2021-07-31	3859.3701500546294
Ashdod	Ashdod-Legacy	2021	8	2021-08-31	3915.115012299625
Ashdod	Ashdod-Legacy	2021	9	2021-09-30	2701.5744900048217
Ashdod	Ashdod-Legacy	2021	10	2021-10-31	3370.636192485084
Ashdod	Ashdod-Legacy	2021	11	2021-11-30	3409.9721620882287
Ashdod	Ashdod-Legacy	2021	12	2021-12-31	3409.9721620882287
Ashdod	Ashdod-Legacy	2022	1	2022-01-31	3247.738738738738
Ashdod	Ashdod-Legacy	2022	2	2022-02-28	3247.738738738738
Ashdod	Ashdod-Legacy	2022	3	2022-03-31	3247.738738738738
Ashdod	Ashdod-Legacy	2022	4	2022-04-30	3370.981981981982
Ashdod	Ashdod-Legacy	2022	5	2022-05-31	3370.981981981982
Ashdod	Ashdod-Legacy	2022	6	2022-06-30	3370.981981981982
Ashdod	Ashdod-Legacy	2022	7	2022-07-31	3372.477477477477
Ashdod	Ashdod-Legacy	2022	8	2022-08-31	3372.477477477477
Ashdod	Ashdod-Legacy	2022	9	2022-09-30	3372.477477477477
Ashdod	Ashdod-Legacy	2022	10	2022-10-31	2901.045045045045
Ashdod	Ashdod-Legacy	2022	11	2022-11-30	2901.045045045045
Ashdod	Ashdod-Legacy	2022	12	2022-12-31	2901.045045045045
Ashdod	Ashdod-Legacy	2023	1	2023-01-31	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	2	2023-02-28	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	3	2023-03-31	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	4	2023-04-30	2767.67619047619
Ashdod	Ashdod-Legacy	2023	5	2023-05-31	2767.67619047619
Ashdod	Ashdod-Legacy	2023	6	2023-06-30	2767.67619047619
