entity	month	K_productive_kNIS
HAIFA_TOTAL	2018-01	11395622.69228593
HAIFA_TOTAL	2018-02	11405116.688644946
HAIFA_TOTAL	2018-03	11436224.395454898
HAIFA_TOTAL	2018-04	11488893.033093523
HAIFA_TOTAL	2018-05	11563069.971011478
HAIFA_TOTAL	2018-06	11658702.727114627
HAIFA_TOTAL	2018-07	11775738.967150604
HAIFA_TOTAL	2018-08	11914126.504099585
HAIFA_TOTAL	2018-09	12073813.297569213
HAIFA_TOTAL	2018-10	12254747.453193702
HAIFA_TOTAL	2018-11	12456877.22203699
HAIFA_TOTAL	2018-12	12680151.0
HAIFA_TOTAL	2019-01	12660411.277241414
HAIFA_TOTAL	2019-02	12657215.345412826
HAIFA_TOTAL	2019-03	12670527.740153901
HAIFA_TOTAL	2019-04	12700313.059520254
HAIFA_TOTAL	2019-05	12746535.963957282
HAIFA_TOTAL	2019-06	12809161.176273588
HAIFA_TOTAL	2019-07	12888153.48161398
HAIFA_TOTAL	2019-08	12983477.727432048
HAIFA_TOTAL	2019-09	13095098.823462332
HAIFA_TOTAL	2019-10	13222981.741692036
HAIFA_TOTAL	2019-11	13367091.516332382
HAIFA_TOTAL	2019-12	13527393.243789464
HAIFA_TOTAL	2020-01	13500063.4126006
HAIFA_TOTAL	2020-02	13482748.856771592
HAIFA_TOTAL	2020-03	13475419.721903207
HAIFA_TOTAL	2020-04	13478046.286838092
HAIFA_TOTAL	2020-05	13490598.962717721
HAIFA_TOTAL	2020-06	13513048.292047959
HAIFA_TOTAL	2020-07	13545364.947773121
HAIFA_TOTAL	2020-08	13587519.732358439
HAIFA_TOTAL	2020-09	13639483.576880885
HAIFA_TOTAL	2020-10	13701227.540128253
HAIFA_TOTAL	2020-11	13772722.807706391
HAIFA_TOTAL	2020-12	13858422.691154545
HAIFA_TOTAL	2021-01	13830870.434196308
HAIFA_TOTAL	2021-02	13813809.834960813
HAIFA_TOTAL	2021-03	13807207.77414829
HAIFA_TOTAL	2021-04	13811031.285742793
HAIFA_TOTAL	2021-05	13825247.5559838
HAIFA_TOTAL	2021-06	13849823.922346102
HAIFA_TOTAL	2021-07	13884727.872528091
HAIFA_TOTAL	2021-08	13929927.04344828
HAIFA_TOTAL	2021-09	14119352.120249972
HAIFA_TOTAL	2021-10	14451954.933901178
HAIFA_TOTAL	2021-11	14926695.168703055
HAIFA_TOTAL	2021-12	15542540.302860955
HAIFA_TOTAL	2022-01	15504819.510490295
HAIFA_TOTAL	2022-02	15478447.602372408
HAIFA_TOTAL	2022-03	15463356.892928876
HAIFA_TOTAL	2022-04	15459480.16879537
HAIFA_TOTAL	2022-05	15466750.685305675
HAIFA_TOTAL	2022-06	15485102.163002478
HAIFA_TOTAL	2022-07	15514468.784174837
HAIFA_TOTAL	2022-08	15554785.189422032
HAIFA_TOTAL	2022-09	15605986.474243635
HAIFA_TOTAL	2022-10	15668008.185655598
HAIFA_TOTAL	2022-11	15740786.318832122
HAIFA_TOTAL	2022-12	15824257.313773192
HAIFA_TOTAL	2023-01	15778663.17302673
HAIFA_TOTAL	2023-02	15739176.745998107
HAIFA_TOTAL	2023-03	15705773.541769473
HAIFA_TOTAL	2023-04	15678429.202831805
HAIFA_TOTAL	2023-05	15657119.504161231
HAIFA_TOTAL	2023-06	15641820.35230276
HAIFA_TOTAL	2023-07	15632507.784461288
HAIFA_TOTAL	2023-08	15629157.967599932
HAIFA_TOTAL	2023-09	15631747.197545504
HAIFA_TOTAL	2023-10	15640251.89810118
HAIFA_TOTAL	2023-11	15654648.620166216
HAIFA_TOTAL	2023-12	15674914.040862674
HAIFA_TOTAL	2024-01	15625781.29394857
HAIFA_TOTAL	2024-02	15578255.98352228
HAIFA_TOTAL	2024-03	15532333.151726319
HAIFA_TOTAL	2024-04	15488007.864871418
HAIFA_TOTAL	2024-05	15445275.21322103
HAIFA_TOTAL	2024-06	15404130.31077838
HAIFA_TOTAL	2024-07	15364568.29507599
HAIFA_TOTAL	2024-08	15326584.326967685
HAIFA_TOTAL	2024-09	15290173.59042299
HAIFA_TOTAL	2024-10	15255331.292323984
HAIFA_TOTAL	2024-11	15222052.662264481
HAIFA_TOTAL	2024-12	15190332.952351587
HPC	2018-01	1241493.923894206
HPC	2018-02	1232098.710677581
