entity	month	year	pool_type	asset_class_std	engine_bucket	begin_stock_kNIS	dep_rate_monthly_used	investment_kNIS	reconciliation_adjustment_kNIS	end_stock_kNIS
HPC	2018-01	2018	background	mixed	background::mixed	1251366.2270646838	0.008205755847094931	0.0	0.0	1241097.8213300908
HPC	2018-01	2018	mapped_undated	equipment	mapped_undated::equipment	0.0	0.0107923593727995	196.69943849999999	0.0	196.69943849999999
HPC	2018-01	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	0.0	0.0042653187775606	153.5520648205128	0.0	153.5520648205128
HPC	2018-01	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	0.0	0.0107923593727995	45.85106079487179	0.0	45.85106079487179
HPC	2018-02	2018	background	mixed	background::mixed	1241097.8213300908	0.008205755847094931	0.0	0.0	1230913.6756258947
HPC	2018-02	2018	mapped_undated	equipment	mapped_undated::equipment	196.69943849999999	0.0107923593727995	393.39887699999997	0.0	587.97546447128
HPC	2018-02	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	153.5520648205128	0.0042653187775606	307.1041296410256	0.0	460.0012459561263
HPC	2018-02	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	45.85106079487179	0.0107923593727995	91.70212158974358	0.0	137.05834125889305
HPC	2018-03	2018	background	mixed	background::mixed	1230913.6756258947	0.008205755847094931	0.0	0.0	1220813.0985348583
HPC	2018-03	2018	mapped_undated	equipment	mapped_undated::equipment	587.97546447128	0.0107923593727995	590.0983155	0.0	1171.7281374563172
HPC	2018-03	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	460.0012459561263	0.0042653187775606	460.6561944615385	0.0	918.6953884655868
HPC	2018-03	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	137.05834125889305	0.0107923593727995	137.55318238461538	0.0	273.13234076960265
HPC	2018-04	2018	background	mixed	background::mixed	1220813.0985348583	0.008205755847094931	0.0	0.0	1210795.404313346
HPC	2018-04	2018	mapped_undated	equipment	mapped_undated::equipment	1171.7281374563172	0.0107923593727995	786.7977539999999	0.0	1945.8801803096676
HPC	2018-04	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	918.6953884655868	0.0042653187775606	614.2082592820512	0.0	1528.9851190563575
HPC	2018-04	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	273.13234076960265	0.0107923593727995	183.40424317948717	0.0	453.5888415711703
HPC	2018-05	2018	background	mixed	background::mixed	1210795.404313346	0.008205755847094931	0.0	0.0	1200859.912844766
HPC	2018-05	2018	mapped_undated	equipment	mapped_undated::equipment	1945.8801803096676	0.0107923593727995	983.4971924999999	0.0	2908.376734607358
HPC	2018-05	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	1528.9851190563575	0.0042653187775606	767.760324102564	0.0	2290.22383422
HPC	2018-05	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	453.5888415711703	0.0107923593727995	229.25530397435895	0.0	677.9488517598013
HPC	2018-06	2018	background	mixed	background::mixed	1200859.912844766	0.008205755847094931	0.0	0.0	1191005.949593398
HPC	2018-06	2018	mapped_undated	equipment	mapped_undated::equipment	2908.376734607358	0.0107923593727995	1180.196631	0.0	4057.1851186959857
HPC	2018-06	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	2290.22383422	0.0042653187775606	921.312388923077	0.0	3201.7676884181615
HPC	2018-06	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	677.9488517598013	0.0107923593727995	275.10636476923077	0.0	945.7385488844634
HPC	2018-07	2018	background	mixed	background::mixed	1191005.949593398	0.008205755847094931	0.0	0.0	1181232.8455585972
HPC	2018-07	2018	mapped_undated	equipment	mapped_undated::equipment	4057.1851186959857	0.0107923593727995	1376.8960695	0.0	5390.294588353045
HPC	2018-07	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	3201.7676884181615	0.0042653187775606	1074.8644537435898	0.0	4262.975582318954
HPC	2018-07	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	945.7385488844634	0.0107923593727995	320.95742556410255	0.0	1256.4892241562948
HPC	2018-08	2018	background	mixed	background::mixed	1181232.8455585972	0.008205755847094931	0.0	0.0	1171539.9372293742
HPC	2018-08	2018	mapped_undated	equipment	mapped_undated::equipment	5390.294588353045	0.0107923593727995	1573.5955079999999	0.0	6905.716100030282
HPC	2018-08	2018	mapped_undated	infrastructure_buildings	mapped_undated::infrastructure_buildings	4262.975582318954	0.0042653187775606	1228.4165185641025	0.0	5473.209151083509
HPC	2018-08	2018	mapped_undated	spare_parts	mapped_undated::spare_parts	1256.4892241562948	0.0107923593727995	366.80848635897433	0.0	1609.7372272601242
