m	Haifa-Bayport	Haifa-Legacy	legacy_plus_bayport	negative_bayport
-12	2.402107474032571	-2.4021074740325923	-2.1316282072803006e-14	-2.402107474032571
-11	2.4091307874233627	-2.4091307874233703	-7.549516567451064e-15	-2.4091307874233627
-10	2.419253469638271	-2.419253469638287	-1.5987211554602254e-14	-2.419253469638271
-9	1.4906254407088215	-1.490625440708811	1.0436096431476471e-14	-1.4906254407088215
-8	1.5065407500327006	-1.5065407500326906	9.992007221626409e-15	-1.5065407500327006
-7	1.5250596528908251	-1.525059652890837	-1.176836406102666e-14	-1.5250596528908251
-6	0.9374745034612116	-0.9374745034612147	-3.1086244689504383e-15	-0.9374745034612116
-5	0.960451487833341	-0.9604514878333416	-5.551115123125783e-16	-0.960451487833341
-4	0.9852448228938624	-0.9852448228938754	-1.2989609388114332e-14	-0.9852448228938624
-3	-0.0561162151614738	0.0561162151614517	-2.2093438190040615e-14	0.0561162151614738
-2	-0.0285446460636564	0.0285446460636436	-1.2798789805756883e-14	0.0285446460636564
0	0.5569869252390357	-0.5569869252390344	1.3322676295501878e-15	-0.5569869252390357
1	0.5541708228730732	-0.5541708228730835	-1.0325074129013956e-14	-0.5541708228730732
2	0.5495860773451258	-0.5495860773451313	-5.551115123125783e-15	-0.5495860773451258
3	0.6191867683821919	-0.6191867683822038	-1.1879386363489175e-14	-0.6191867683821919
4	0.611056414160745	-0.6110564141607479	-2.886579864025407e-15	-0.611056414160745
5	0.6011678144283947	-0.6011678144283974	-2.6645352591003757e-15	-0.6011678144283947
6	0.5891643154838301	-0.5891643154838309	-7.771561172376096e-16	-0.5891643154838301
7	0.5758337129081891	-0.5758337129082054	-1.63202784619898e-14	-0.5758337129081891
8	0.5608362843117624	-0.5608362843117733	-1.099120794378905e-14	-0.5608362843117624
9	1.0211174760946236	-1.0211174760946284	-4.884981308350689e-15	-1.0211174760946236
10	1.0029324546139824	-1.00293245461399	-7.549516567451064e-15	-1.0029324546139824
11	0.9832394785321972	-0.9832394785322024	-5.218048215738236e-15	-0.9832394785321972
12	1.0108757709792413	-1.0108757709792535	-1.2212453270876722e-14	-1.0108757709792413
13	1.0107376357752271	-1.010737635775239	-1.176836406102666e-14	-1.0107376357752271
14	1.010362865741124	-1.0103628657411277	-3.552713678800501e-15	-1.010362865741124
15	1.0869878417094836	-1.0869878417094814	2.220446049250313e-15	-1.0869878417094836
16	1.0861266104760878	-1.0861266104760856	2.220446049250313e-15	-1.0861266104760878
17	1.0850157926968365	-1.0850157926968342	2.220446049250313e-15	-1.0850157926968365
18	1.2647928692719623	-1.264792869271964	-1.7763568394002505e-15	-1.2647928692719623
19	1.263170839939474	-1.2631708399394912	-1.709743457922741e-14	-1.263170839939474
20	1.2612874840774035	-1.2612874840774149	-1.1324274851176597e-14	-1.2612874840774035
21	1.1087057910900189	-1.1087057910900262	-7.327471962526033e-15	-1.1087057910900189
22	1.1062891575538305	-1.1062891575538374	-6.8833827526759706e-15	-1.1062891575538305
23	1.103600926899355	-1.10360092689935	4.884981308350689e-15	-1.103600926899355
