Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
AllPorts	07-2016	Monthly	2016	201607	234.919	234919.0
AllPorts	08-2016	Monthly	2016	201608	241.839	241839.0
AllPorts	09-2016	Monthly	2016	201609	224.43	224430.0
AllPorts	10-2016	Monthly	2016	201610	190.319	190319.0
AllPorts	11-2016	Monthly	2016	201611	221.456	221456.0
AllPorts	12-2016	Monthly	2016	201612	216.0	216000.0
AllPorts	01-2017	Monthly	2017	201701	243.822	243822.0
AllPorts	02-2017	Monthly	2017	201702	226.704	226704.0
AllPorts	03-2017	Monthly	2017	201703	251.134	251134.0
AllPorts	04-2017	Monthly	2017	201704	242.243	242243.0
AllPorts	05-2017	Monthly	2017	201705	261.324	261324.0
AllPorts	06-2017	Monthly	2017	201706	262.247	262247.0
AllPorts	07-2017	Monthly	2017	201707	242.597	242597.0
AllPorts	08-2017	Monthly	2017	201708	241.058	241058.0
AllPorts	09-2017	Monthly	2017	201709	213.995	213995.0
AllPorts	10-2017	Monthly	2017	201710	225.357	225357.0
AllPorts	11-2017	Monthly	2017	201711	228.425	228425.0
AllPorts	12-2017	Monthly	2017	201712	230.095	230095.0
AllPorts	01-2018	Monthly	2018	201801	234.187	234187.0
AllPorts	02-2018	Monthly	2018	201802	221.523	221523.0
AllPorts	03-2018	Monthly	2018	201803	249.48	249480.0
AllPorts	04-2018	Monthly	2018	201804	247.83	247830.0
AllPorts	05-2018	Monthly	2018	201805	237.317	237317.0
AllPorts	06-2018	Monthly	2018	201806	263.775	263775.0
AllPorts	07-2018	Monthly	2018	201807	278.25	278250.0
AllPorts	08-2018	Monthly	2018	201808	264.443	264443.0
AllPorts	09-2018	Monthly	2018	201809	207.035	207035.0
AllPorts	10-2018	Monthly	2018	201810	258.662	258662.0
AllPorts	11-2018	Monthly	2018	201811	249.596	249596.0
AllPorts	12-2018	Monthly	2018	201812	234.483	234483.0
AllPorts	01-2019	Monthly	2019	201901	246.012	246012.0
AllPorts	02-2019	Monthly	2019	201902	241.243	241243.0
AllPorts	03-2019	Monthly	2019	201903	243.719	243719.0
AllPorts	04-2019	Monthly	2019	201904	261.839	261839.0
AllPorts	05-2019	Monthly	2019	201905	247.688	247688.0
AllPorts	06-2019	Monthly	2019	201906	250.925	250925.0
AllPorts	07-2019	Monthly	2019	201907	265.871	265871.0
AllPorts	08-2019	Monthly	2019	201908	236.251	236251.0
AllPorts	09-2019	Monthly	2019	201909	230.196	230196.0
AllPorts	10-2019	Monthly	2019	201910	228.841	228841.0
AllPorts	11-2019	Monthly	2019	201911	231.825	231825.0
AllPorts	12-2019	Monthly	2019	201912	232.512	232512.0
AllPorts	01-2020	Monthly	2020	202001	242.538	242538.0
AllPorts	02-2020	Monthly	2020	202002	246.38	246380.0
AllPorts	03-2020	Monthly	2020	202003	248.369	248369.0
AllPorts	04-2020	Monthly	2020	202004	246.736	246736.0
AllPorts	05-2020	Monthly	2020	202005	242.486	242486.0
AllPorts	06-2020	Monthly	2020	202006	248.555	248555.0
AllPorts	07-2020	Monthly	2020	202007	267.881	267881.0
