PortOrTerminal	Month-Year	tons_k
All Ports	06-2025	4369.478205
All Ports	07-2025	4822.938576
All Ports	08-2025	4294.750217
Ashdod	01-2008	789.324
Ashdod	02-2008	967.407
Ashdod	03-2008	1331.155
Ashdod	04-2008	1169.886
Ashdod	05-2008	1214.213
Ashdod	06-2008	1225.146
Ashdod	07-2008	1488.748
Ashdod	08-2008	1447.61
Ashdod	09-2008	1232.531
Ashdod	10-2008	1254.503
Ashdod	11-2008	1408.462
Ashdod	12-2008	1386.282
Ashdod	01-2010	1487.386
Ashdod	02-2010	1507.974
Ashdod	03-2010	1677.514
Ashdod	04-2010	1634.874
Ashdod	05-2010	1653.914
Ashdod	06-2010	1640.101
Ashdod	07-2010	1443.589
Ashdod	08-2010	1589.659
Ashdod	09-2010	1201.755
Ashdod	10-2010	1581.262
Ashdod	11-2010	1548.865
Ashdod	12-2010	1568.111
Ashdod	01-2011	1448.7052
Ashdod	02-2011	1526.4292
Ashdod	03-2011	1992.5984
Ashdod	04-2011	1612.1251
Ashdod	05-2011	1639.2178
Ashdod	06-2011	1607.7856
Ashdod	07-2011	1577.8414
Ashdod	08-2011	1750.6768
Ashdod	09-2011	1464.8639
Ashdod	10-2011	1552.1591
Ashdod	11-2011	1478.6455
Ashdod	12-2011	1564.3858
Ashdod	01-2012	1654.667
Ashdod	02-2012	1303.3137
Ashdod	03-2012	1624.4532
Ashdod	04-2012	1735.5977
Ashdod	05-2012	1934.6219
Ashdod	06-2012	1653.7576
Ashdod	07-2012	1885.3409
Ashdod	08-2012	1937.9164
Ashdod	09-2012	1377.0413
Ashdod	10-2012	1616.4207
Ashdod	11-2012	1380.1592
Ashdod	12-2012	1511.1248
Ashdod	01-2013	1484.3518
Ashdod	02-2013	1608.6084
Ashdod	03-2013	1513.0499
Ashdod	04-2013	1760.9867
Ashdod	05-2013	1807.9821
Ashdod	06-2013	1711.8458
Ashdod	07-2013	1821.0237
Ashdod	08-2013	1579.6963
Ashdod	09-2013	1322.8227
Ashdod	10-2013	1568.7143
Ashdod	11-2013	1530.2755
Ashdod	12-2013	1504.2031
Ashdod	01-2014	1920.064883
Ashdod	02-2014	1837.724096
Ashdod	03-2014	1921.768161
Ashdod	04-2014	1454.077048
Ashdod	05-2014	1832.208221
Ashdod	06-2014	1814.163901
Ashdod	07-2014	1669.554369
Ashdod	08-2014	1855.631205
Ashdod	09-2014	1830.413568
Ashdod	10-2014	1705.707701
Ashdod	11-2014	1659.022872
Ashdod	12-2014	2054.402677
Ashdod	01-2015	1752.376553
Ashdod	02-2015	1546.442546
Ashdod	03-2015	2052.65545
Ashdod	04-2015	1594.15753
Ashdod	05-2015	1938.223863
Ashdod	06-2015	2029.90166
Ashdod	07-2015	1931.978133
Ashdod	08-2015	1944.713443
Ashdod	09-2015	1667.770489
Ashdod	10-2015	1884.551243
Ashdod	11-2015	1913.449846
Ashdod	12-2015	2017.264096
Ashdod	01-2016	1850.074737
Ashdod	02-2016	1876.305293
Ashdod	03-2016	2190.340875
Ashdod	04-2016	1900.095204
Ashdod	05-2016	2343.729806
Ashdod	06-2016	2160.076032
Ashdod	07-2016	1969.651699
Ashdod	08-2016	2200.06923
Ashdod	09-2016	2060.654845
Ashdod	10-2016	1535.3624
Ashdod	11-2016	2083.301
Ashdod	12-2016	1916.7568
Ashdod	01-2017	2046.0103
Ashdod	02-2017	1859.2658
Ashdod	03-2017	2044.8304
Ashdod	04-2017	1860.419625
Ashdod	05-2017	2052.0463
Ashdod	06-2017	1974.351
Ashdod	07-2017	2107.158249
Ashdod	08-2017	2045.322711
Ashdod	09-2017	1813.76476
Ashdod	10-2017	1845.309195
Ashdod	11-2017	2051.298147
