port	terminal	year	quarter	tons_i_q	TEU_i_q	r_terminal_q	w	w_source	Pi_teu_per_hour_i_y	LP_mix
Ashdod	Ashdod-HCT	2021	Q3	17669.0	8695.19848739153	2.032041019606502	1.0095123873422143	terminal_quarter_specific	31.200000000000003	31.496786485077088
Ashdod	Ashdod-HCT	2021	Q4	31146.6	15628.2163177368	1.9929721579711595	0.9904876126577856	terminal_quarter_specific	31.200000000000003	30.903213514922914
Ashdod	Ashdod-HCT	2022	Q1	44201.76	20319.0	2.1753905211870666	0.3678522348092109	terminal_quarter_specific	29.6	10.888426150352643
Ashdod	Ashdod-HCT	2022	Q2	145560.874	26586.0	5.475094937184985	0.8855268003014634	terminal_quarter_specific	29.6	26.211593288923318
Ashdod	Ashdod-HCT	2022	Q3	456385.27799999993	60333.0	7.56443866540699	1.2234515098469796	terminal_quarter_specific	29.6	36.2141646914706
Ashdod	Ashdod-HCT	2022	Q4	558991.1506	58997.25	9.474867906554968	1.523169455042346	terminal_quarter_specific	29.6	45.085815869253445
Ashdod	Ashdod-HCT	2023	Q1	819496.103884	88325.0	9.278189684506085	1.033415887423584	terminal_quarter_specific	28.0	28.93564484786035
Ashdod	Ashdod-HCT	2023	Q2	1440455.2289299988	150543.75	9.568349592261377	1.0647646949712855	terminal_quarter_specific	28.0	29.813411459195994
Ashdod	Ashdod-HCT	2023	Q3	1287423.20406262	148688.25	8.658540295299863	0.9643985957737509	terminal_quarter_specific	28.0	27.003160681665022
Ashdod	Ashdod-HCT	2023	Q4	735027.0428609999	87411.25	8.40883802555163	0.9374208218313795	terminal_quarter_specific	28.0	26.247783011278628
Ashdod	Ashdod-HCT	2024	Q1	878020.306786999	102072.75	8.601907039704514	1.0145474000282615	terminal_quarter_specific	61.0	61.88739140172395
Ashdod	Ashdod-HCT	2024	Q2	1617510.2709970009	184935.0	8.746371811701414	1.0310750569076204	terminal_quarter_specific	61.0	62.89557847136484
Ashdod	Ashdod-HCT	2024	Q3	1783830.3601570008	218264.5	8.17279200308342	0.9647076791402086	terminal_quarter_specific	61.0	58.847168427552724
Ashdod	Ashdod-HCT	2024	Q4	1572425.825951001	187394.75	8.390981209190764	0.9896698639239098	terminal_quarter_specific	61.0	60.369861699358495
