port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id	L_hours_port_m
Haifa	2018	1	24217	Q1	112403.0	2432458.313	port_row	1.072405159502948	monthly_port_specific	54.0	57.909878613159194	48.282018987213405	2328.0509464562333
Haifa	2018	2	24218	Q1	112638.0	2617941.7199999997	port_row	1.1431319670792899	monthly_port_specific	54.0	61.72912622228165	48.38296179534126	2328.0509464562333
Haifa	2018	3	24219	Q1	126799.0	2530486.29	port_row	0.9889618789355752	monthly_port_specific	54.0	53.40394146252106	54.465732458739296	2328.0509464562333
Haifa	2018	4	24220	Q2	130683.0	2830216.76	port_row	1.073227998114482	monthly_port_specific	54.0	57.954311898182034	53.487064530730315	2443.263640406322
Haifa	2018	5	24221	Q2	127879.0	2650406.0009999997	port_row	1.0270806940770243	monthly_port_specific	54.0	55.46235748015931	52.33941924447144	2443.263640406322
Haifa	2018	6	24222	Q2	131558.0	2475433.331	port_row	0.9324495913396842	monthly_port_specific	54.0	50.35227793234294	53.84519207191309	2443.263640406322
Haifa	2018	7	24223	Q3	135914.0	2246470.07	port_row	0.8252307921100113	monthly_port_specific	54.0	44.56246277394061	65.23743468084427	2083.374379524898
Haifa	2018	8	24224	Q3	127701.0	2254746.21	port_row	0.8749732153895436	monthly_port_specific	54.0	47.24855363103536	61.295272350004375	2083.374379524898
Haifa	2018	9	24225	Q3	111052.0	2282924.06	port_row	1.0187238456677365	monthly_port_specific	54.0	55.011087666057776	53.30390979720352	2083.374379524898
Haifa	2018	10	24226	Q4	121552.0	2442325.644	port_row	0.9957099606295449	monthly_port_specific	54.0	53.76833787399542	54.89810903562793	2214.1381941063732
Haifa	2018	11	24227	Q4	119024.0	2369774.08	port_row	0.9866515325104903	monthly_port_specific	54.0	53.279182755566474	53.75635555035358	2214.1381941063732
Haifa	2018	12	24228	Q4	111947.0	2397849.86	port_row	1.0614533646436703	monthly_port_specific	54.0	57.3184816907582	50.56007809177504	2214.1381941063732
Haifa	2019	1	24229	Q1	123013.0	2470007.68	port_row	0.9523663686706558	monthly_port_specific	56.0	53.33251664555672	57.24977750597923	2148.707040602077
Haifa	2019	2	24230	Q1	106443.0	2325576.96	port_row	1.0362638948950955	monthly_port_specific	56.0	58.03077811412535	49.538163178436	2148.707040602077
Haifa	2019	3	24231	Q1	125746.0	2816989.27	port_row	1.0625460735916434	monthly_port_specific	56.0	59.502580121132034	58.521705204058634	2148.707040602077
Haifa	2019	4	24232	Q2	127316.0	2526060.42	port_row	0.9410604150577159	monthly_port_specific	56.0	52.69938324323209	60.66358672328717	2098.7219331547817
Haifa	2019	5	24233	Q2	118131.0	2426771.23	port_row	0.974365087351957	monthly_port_specific	56.0	54.56444489170959	56.28711366370791	2098.7219331547817
Haifa	2019	6	24234	Q2	112027.0	2482651.89	port_row	1.0511141421756813	monthly_port_specific	56.0	58.862391961838156	53.37867691295432	2098.7219331547817
Haifa	2019	7	24235	Q3	116265.0	2459658.8200000003	port_row	1.0034197185233067	monthly_port_specific	56.0	56.191504237305175	59.98413726896091	1938.2624355949836
Haifa	2019	8	24236	Q3	104006.0	2214668.53	port_row	1.0099667993411563	monthly_port_specific	56.0	56.55814076310475	53.659400342283135	1938.2624355949836
Haifa	2019	9	24237	Q3	102448.0	2192670.23	port_row	1.0151415238618293	monthly_port_specific	56.0	56.84792533626244	52.855587622504686	1938.2624355949836
Haifa	2019	10	24238	Q4	115624.0	2862368.2199999997	port_row	1.1618992816785891	monthly_port_specific	56.0	65.06635977400099	57.13877543382944	2023.56454302911
Haifa	2019	11	24239	Q4	112713.0	2138066.59	port_row	0.8997129570701414	monthly_port_specific	56.0	50.38392559592792	55.70022482765877	2023.56454302911
Haifa	2019	12	24240	Q4	115423.0	2168776.42	port_row	0.8921437377822274	monthly_port_specific	56.0	49.96004931580474	57.039445762980826	2023.56454302911
Haifa	2020	1	24241	Q1	124007.0	2540187.838	port_row	1.1168912608218826	monthly_port_specific	52.0	58.078345562737894	47.265341954166495	2623.634884949111
Haifa	2020	2	24242	Q1	120547.0	2352277.288	port_row	1.0651371155130565	monthly_port_specific	52.0	55.38713000667894	45.946560892118256	2623.634884949111
Haifa	2020	3	24243	Q1	129194.0	2597155.57	port_row	1.097309223430088	monthly_port_specific	52.0	57.06007961836458	49.24237009545095	2623.634884949111
Haifa	2020	4	24244	Q2	132637.0	2293926.19	port_row	0.9440351371216975	monthly_port_specific	52.0	49.089827130328274	57.55076374032761	2304.6957395468435
Haifa	2020	5	24245	Q2	120993.0	2317983.4639999997	port_row	1.0457394648539005	monthly_port_specific	52.0	54.378452172402824	52.498469938504776	2304.6957395468435
Haifa	2020	6	24246	Q2	112028.0	1967243.95	port_row	0.958528533132313	monthly_port_specific	52.0	49.84348372288028	48.60858554024459	2304.6957395468435
Haifa	2020	7	24247	Q3	124557.0	1982088.98	port_row	0.8701799823758061	monthly_port_specific	52.0	45.24935908354192	55.945571096348026	2226.396076742002
Haifa	2020	8	24248	Q3	113777.0	2307125.04	port_row	1.1068532995888682	monthly_port_specific	52.0	57.556371578621146	51.103665330966464	2226.396076742002
Haifa	2020	9	24249	Q3	113342.0	2066419.62	port_row	0.9951786596439417	monthly_port_specific	52.0	51.74929030148497	50.90828230611108	2226.396076742002
Haifa	2020	10	24250	Q4	132974.0	2266698.5	port_row	0.9304658406795474	monthly_port_specific	52.0	48.38422371533647	59.55826711737717	2232.6707346594794
Haifa	2020	11	24251	Q4	125407.0	2028255.749	port_row	0.8828244379257618	monthly_port_specific	52.0	45.90687077213961	56.16905262975408	2232.6707346594794
Haifa	2020	12	24252	Q4	114971.0	2078591.49	port_row	0.9868570449131372	monthly_port_specific	52.0	51.31656633548313	51.494830032577575	2232.6707346594794
Haifa	2021	1	24253	Q1	127132.0	1498345.5	port_row	1.00396299142108	monthly_port_specific	47.0	47.18626059679076	46.88436406802879	2711.6076441931177
Haifa	2021	2	24254	Q1	122928.0	1407982.1	port_row	0.975678944812249	monthly_port_specific	47.0	45.85691040617571	45.33399227696129	2711.6076441931177
Haifa	2021	3	24255	Q1	126274.0	1500388.3	port_row	1.0121627408385152	monthly_port_specific	47.0	47.571648819410214	46.56794660924289	2711.6076441931177
Haifa	2021	4	24256	Q2	121885.0	1514385.1	port_row	1.057658525036406	monthly_port_specific	47.0	49.709950676711074	44.28807407417829	2752.095288583881
Haifa	2021	5	24257	Q2	134011.0	1459727.5	port_row	0.9300961002847385	monthly_port_specific	47.0	43.714516713382714	48.694171512119674	2752.095288583881
Haifa	2021	6	24258	Q2	130127.0	1498401.0	port_row	0.9808921343417895	monthly_port_specific	47.0	46.101930314064106	47.28288316897566	2752.095288583881
Haifa	2021	7	24259	Q3	118613.0	1380398.8	port_row	0.991363438329427	monthly_port_specific	46.92328510906848	46.51802926343813	47.20097618841325	2512.9353157131686
Haifa	2021	8	24260	Q3	125500.0	1403292.5	port_row	0.9525002395453264	monthly_port_specific	46.92328510906848	44.694440306641376	49.941595876049526	2512.9353157131686
Haifa	2021	9	24261	Q3	105251.0	1291716.4	port_row	1.0454458862119933	monthly_port_specific	46.92328510906848	49.055755384828124	41.88368850637521	2512.9353157131686
Haifa	2021	10	24262	Q4	121087.0	1492880.5	port_row	1.0502389991784753	monthly_port_specific	46.737081536982274	49.08510573792306	45.60203872256961	2655.2979514065228
