port	terminal	year	quarter	tons_i_q	TEU_i_q	r_terminal_q	w	w_source	Pi_teu_per_hour_i_y	LP_mix
Ashdod	Ashdod-Legacy	2021	Q3	5736715.4	408566.326442004	14.041087159478199	0.9609479038370016	terminal_quarter_specific	39.0	37.476968249643065
Ashdod	Ashdod-Legacy	2021	Q4	6023263.699999999	397432.6401498001	15.155432874687177	1.037111474356786	terminal_quarter_specific	39.0	40.447347499914656
Ashdod	Ashdod-Legacy	2022	Q1	5653663.34	360499.0	15.682882171656509	1.0941190462687274	terminal_quarter_specific	37.0	40.48240471194291
Ashdod	Ashdod-Legacy	2022	Q2	5677073.026	374179.0	15.172078139072475	1.0595179931512801	terminal_quarter_specific	37.0	39.202165746597366
Ashdod	Ashdod-Legacy	2022	Q3	4911781.522	374345.0	13.121002075625425	0.9166861265346931	terminal_quarter_specific	37.0	33.91738668178364
Ashdod	Ashdod-Legacy	2022	Q4	4286928.0494	322016.0	13.312779642626452	0.9296768340452993	terminal_quarter_specific	37.0	34.398042859676075
Ashdod	Ashdod-Legacy	2023	Q1	4212543.896116	302791.0	13.912381464825572	1.057279924709107	terminal_quarter_specific	35.0	37.00479736481874
Ashdod	Ashdod-Legacy	2023	Q2	3417397.671070001	290606.0	11.759556482213034	0.8960632582160823	terminal_quarter_specific	35.0	31.362214037562882
Ashdod	Ashdod-Legacy	2023	Q3	3696092.895937381	288594.0	12.807240954203417	0.973294096774635	terminal_quarter_specific	35.0	34.06529338711223
Ashdod	Ashdod-Legacy	2023	Q4	3392096.1571390005	240054.0	14.130554613291178	1.0733627203001759	terminal_quarter_specific	35.0	37.56769521050616
Ashdod	Ashdod-Legacy	2024	Q1	3809156.093213	280925.0	13.559334673713623	1.1251688229226187	terminal_quarter_specific	38.0	42.75641527105951
Ashdod	Ashdod-Legacy	2024	Q2	3138286.4290029984	262311.0	11.963990945873404	0.9963020503525402	terminal_quarter_specific	38.0	37.859477913396525
Ashdod	Ashdod-Legacy	2024	Q3	3437041.939842999	309830.0	11.093315495087625	0.9246975531111081	terminal_quarter_specific	38.0	35.13850701822211
Ashdod	Ashdod-Legacy	2024	Q4	3463331.074048999	302369.0	11.453988583647792	0.953831573613733	terminal_quarter_specific	38.0	36.24559979732186
