port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id	L_hours_port_m
Ashdod	2018	1	24217	Q1	121784.0	2003195.046	port_row	1.0320627815865107	monthly_port_specific	41.0	42.31457404504694	41.35784113943327	2944.6411283756097
Ashdod	2018	2	24218	Q1	108885.0	1853087.047	port_row	1.0678269525997475	monthly_port_specific	41.0	43.780905056589646	36.97734129661689	2944.6411283756097
Ashdod	2018	3	24219	Q1	122666.0	1899461.314	port_row	0.9715817818311095	monthly_port_specific	41.0	39.83485305507549	41.65736830133451	2944.6411283756097
Ashdod	2018	4	24220	Q2	117145.0	1925889.287	port_row	1.0315271763083904	monthly_port_specific	41.0	42.292614228644005	38.944656380458525	3007.98648357777
Ashdod	2018	5	24221	Q2	109438.0	1982586.069	port_row	1.1291033638499939	monthly_port_specific	41.0	46.29323791784975	36.382477314137354	3007.98648357777
Ashdod	2018	6	24222	Q2	132217.0	1971086.063	port_row	0.9353871554681686	monthly_port_specific	41.0	38.35087337419491	43.9553171936923	3007.98648357777
Ashdod	2018	7	24223	Q3	142318.0	2204184.377	port_row	0.9717648846095673	monthly_port_specific	41.0	39.84236026899226	46.998823328773824	3028.1183638244293
Ashdod	2018	8	24224	Q3	136641.0	2189938.196	port_row	1.005596933504129	monthly_port_specific	41.0	41.22947427366929	45.12406173826911	3028.1183638244293
Ashdod	2018	9	24225	Q3	95956.0	1524789.63	port_row	0.9970361557783592	monthly_port_specific	41.0	40.87848238691273	31.688325379332348	3028.1183638244293
Ashdod	2018	10	24226	Q4	137108.0	2025302.49	port_row	0.9277715372131344	monthly_port_specific	41.0	38.03863302573851	45.26361633733954	3029.0995526774736
Ashdod	2018	11	24227	Q4	130572.0	2055397.323	port_row	0.9876858770334264	monthly_port_specific	41.0	40.49512095837048	43.1058793972569	3029.0995526774736
Ashdod	2018	12	24228	Q4	122481.0	1840130.271	port_row	0.9426554002174631	monthly_port_specific	41.0	38.64887140891599	40.43478857990551	3029.0995526774736
Ashdod	2019	1	24229	Q1	122983.0	1957516.591	port_row	1.0344544659518393	monthly_port_specific	42.0	43.44708756997725	41.610869788088934	2955.5498509479307
