port	year	month	quarter	TEU_port_m	L_hours_port_m
Haifa	2020	12	4	114971.0	2210.9807692307695
Haifa	2021	1	1	127132.0	2704.936170212766
Haifa	2021	2	1	122928.0	2615.489361702128
Haifa	2021	3	1	126274.0	2686.68085106383
Haifa	2021	4	2	121885.0	2593.2978723404253
Haifa	2021	5	2	134011.0	2851.297872340426
Haifa	2021	6	2	130127.0	2768.6595744680853
Haifa	2021	7	3	121035.79893309214	2523.7384610499334
Haifa	2021	8	3	128063.47336382238	2670.273720939245
Haifa	2021	9	3	107400.86561765474	2239.4340988253102
Haifa	2021	10	4	121087.0	2399.772703866011
Haifa	2021	11	4	128113.46817057545	2539.0273432602503
Haifa	2021	12	4	128113.46817057545	2539.0273432602503
Haifa	2022	1	1	135321.58333333334	2514.1560283687945
Haifa	2022	2	1	135321.58333333334	2514.1560283687945
Haifa	2022	3	1	135321.58333333334	2514.1560283687945
Haifa	2022	4	2	140262.0	2256.6879432624114
Haifa	2022	5	2	140262.0	2256.6879432624114
Haifa	2022	6	2	140262.0	2256.6879432624114
Haifa	2022	7	3	121338.41666666667	1702.2482269503548
Haifa	2022	8	3	121338.41666666667	1702.2482269503548
Haifa	2022	9	3	121338.41666666667	1702.2482269503548
Haifa	2022	10	4	110014.08333333333	1119.8156028368796
Haifa	2022	11	4	110014.08333333333	1119.8156028368796
Haifa	2022	12	4	110014.08333333333	1119.8156028368796
Haifa	2023	1	1	130785.33333333333	2803.3808012093723
Haifa	2023	2	1	130785.33333333333	2803.3808012093723
Haifa	2023	3	1	130785.33333333333	2803.3808012093723
Haifa	2023	4	2	141038.91666666666	3018.370483749055
Haifa	2023	5	2	141038.91666666666	3018.370483749055
Haifa	2023	6	2	141038.91666666666	3018.370483749055
Haifa	2023	7	3	130350.5	2789.650113378685
Haifa	2023	8	3	130350.5	2789.650113378685
Haifa	2023	9	3	130350.5	2789.650113378685
Haifa	2023	10	4	112786.33333333333	2389.492214663643
Haifa	2023	11	4	112786.33333333333	2389.492214663643
Haifa	2023	12	4	112786.33333333333	2389.492214663643
Haifa	2024	1	1	108251.91666666667	2406.315894308943
Haifa	2024	2	1	108251.91666666667	2406.315894308943
Haifa	2024	3	1	108251.91666666667	2406.315894308943
Haifa	2024	4	2	93571.83333333333	2087.916666666667
Haifa	2024	5	2	93571.83333333333	2087.916666666667
Haifa	2024	6	2	93571.83333333333	2087.916666666667
Haifa	2024	7	3	100685.58333333333	2266.458008130081
Haifa	2024	8	3	100685.58333333333	2266.458008130081
Haifa	2024	9	3	100685.58333333333	2266.458008130081
Haifa	2024	10	4	101168.66666666667	2260.8255284552847
Haifa	2024	11	4	101168.66666666667	2260.8255284552847
Haifa	2024	12	4	101168.66666666667	2260.8255284552847
