month	K_kNIS	series	L_hours	KL_kNIS_per_hour
2018-01	0.0	ENTRANT		
2018-02	0.0	ENTRANT		
2018-03	0.0	ENTRANT		
2018-04	0.0	ENTRANT		
2018-05	0.0	ENTRANT		
2018-06	0.0	ENTRANT		
2018-07	0.0	ENTRANT		
2018-08	0.0	ENTRANT		
2018-09	0.0	ENTRANT		
2018-10	0.0	ENTRANT		
2018-11	0.0	ENTRANT		
2018-12	0.0	ENTRANT		
2019-01	0.0	ENTRANT		
2019-02	0.0	ENTRANT		
2019-03	0.0	ENTRANT		
2019-04	0.0	ENTRANT		
2019-05	0.0	ENTRANT		
2019-06	0.0	ENTRANT		
2019-07	0.0	ENTRANT		
2019-08	0.0	ENTRANT		
2019-09	0.0	ENTRANT		
2019-10	0.0	ENTRANT		
2019-11	0.0	ENTRANT		
2019-12	0.0	ENTRANT		
2020-01	0.0	ENTRANT		
2020-02	0.0	ENTRANT		
2020-03	0.0	ENTRANT		
2020-04	0.0	ENTRANT		
2020-05	0.0	ENTRANT		
2020-06	0.0	ENTRANT		
2020-07	0.0	ENTRANT		
2020-08	0.0	ENTRANT		
2020-09	0.0	ENTRANT		
2020-10	0.0	ENTRANT		
2020-11	0.0	ENTRANT		
2020-12	4482.0	ENTRANT		
2021-01	4448.004270342111	ENTRANT	0.0	
2021-02	4414.266396470696	ENTRANT	0.0	
2021-03	4380.784422563441	ENTRANT	0.0	
2021-04	4347.556407632839	ENTRANT	0.0	
2021-05	4314.580425413672	ENTRANT	0.0	
2021-06	4281.854564251338	ENTRANT	0.0	
2021-07	4249.3769269910335	ENTRANT	57.212258104458805	74.27388933386393
2021-08	4217.1456308677725	ENTRANT	60.53416060726548	69.66555063392784
2021-09	138148.05880739723	ENTRANT	50.76717878944461	2721.208113225324
2021-10	405026.0131893743	ENTRANT	206.38213252009487	1962.5052238954745
2021-11	803842.6125983886	ENTRANT	218.35812899476124	3681.30381176546
2021-12	1333597.1094869685	ENTRANT	218.35812899476124	6107.384761109414
2022-01	1329504.975129254	ENTRANT	455.1819800227918	2920.82075626694
2022-02	1331467.0075963351	ENTRANT	455.1819800227918	2925.131191550391
2022-03	1339437.2863574931	ENTRANT	455.1819800227918	2942.6412844603933
2022-04	1353370.239186773	ENTRANT	1047.7383579032603	1291.7063014616979
2022-05	1373220.63952111	ENTRANT	1047.7383579032603	1310.6522531724493
2022-06	1398943.6038384938	ENTRANT	1047.7383579032603	1335.2031958036425
2022-07	1430494.5890560232	ENTRANT	1452.304171199689	984.9827724961707
2022-08	1467829.3899476912	ENTRANT	1452.304171199689	1010.6900600135145
2022-09	1510904.13658176	ENTRANT	1452.304171199689	1040.3496502620824
2022-10	1559675.2917775714	ENTRANT	2778.887581006594	561.2588657554156
2022-11	1614099.6485816482	ENTRANT	2778.887581006594	580.8438094487343
2022-12	1674134.327762938	ENTRANT	2778.887581006594	602.4476625846512
2023-01	1661436.10866039	ENTRANT	1645.0814814814814	1009.9415301691806
2023-02	1648834.2048688077	ENTRANT	1645.0814814814814	1002.2811778198043
2023-03	1636327.8858417217	ENTRANT	1645.0814814814814	994.6789288322201
2023-04	1623916.426573819	ENTRANT	1715.3092592592593	946.7193264467613
2023-05	1611599.107558913	ENTRANT	1715.3092592592593	939.538511122401
2023-06	1599375.214748233	ENTRANT	1715.3092592592593	932.4121618972131
2023-07	1587244.03950903	ENTRANT	1585.588888888889	1001.0438712277436
2023-08	1575204.878583496	ENTRANT	1585.588888888889	993.4510071443111
2023-09	1563257.034047996	ENTRANT	1585.588888888889	985.9157345277929
2023-10	1551399.813272608	ENTRANT	1074.6962962962964	1443.570447408412
2023-11	1539632.5288809715	ENTRANT	1074.6962962962964	1432.6210429746293
2023-12	1527954.4987104386	ENTRANT	1074.6962962962964	1421.7546891863278
2024-01	1516365.045772528	ENTRANT	1065.885	1422.6347549431018
2024-02	1504863.4982136805	ENTRANT	1065.885	1411.844146614016
2024-03	1493449.1892763097	ENTRANT	1065.885	1401.1353844704727
2024-04	1482121.4572601493	ENTRANT	885.25	1674.2405617171978
2024-05	1470879.645483895	ENTRANT	885.25	1661.5415368358035
2024-06	1459723.1022471343	ENTRANT	885.25	1648.938833377164
2024-07	1448651.1807925676	ENTRANT	862.3116666666665	1679.9624043038204
2024-08	1437663.2392685146	ENTRANT	862.3116666666665	1667.2199795532338
2024-09	1426758.6406917055	ENTRANT	862.3116666666665	1654.574205411082
2024-10	1415936.7529103556	ENTRANT	941.6466666666668	1503.6815857083925
2024-11	1405196.9485675157	ENTRANT	941.6466666666668	1492.2762415139955
2024-12	1394538.6050647062	ENTRANT	941.6466666666668	1480.9574062437143
2018-01	11395622.69228593	HAIFA_TOTAL	2081.537037037037	5474.619230656123
2018-02	11405116.688644946	HAIFA_TOTAL	2085.8888888888887	5467.748905225831
2018-03	11436224.395454898	HAIFA_TOTAL	2348.12962962963	4870.354792660545
2018-04	11488893.033093523	HAIFA_TOTAL	2420.0555555555557	4747.367475395042
2018-05	11563069.971011478	HAIFA_TOTAL	2368.1296296296296	4882.7859025689895
2018-06	11658702.727114627	HAIFA_TOTAL	2436.259259259259	4785.493449765046
2018-07	11775738.967150604	HAIFA_TOTAL	2516.9259259259256	4678.619599350565
2018-08	11914126.504099583	HAIFA_TOTAL	2364.8333333333335	5038.04066703767
2018-09	12073813.297569212	HAIFA_TOTAL	2056.5185185185187	5870.9966328273
2018-10	12254747.453193702	HAIFA_TOTAL	2250.962962962963	5444.2243852216325
2018-11	12456877.22203699	HAIFA_TOTAL	2204.1481481481483	5651.560777574249
2018-12	12680151.0	HAIFA_TOTAL	2073.0925925925926	6116.538665618552
2019-01	12660411.277241414	HAIFA_TOTAL	2196.6607142857147	5763.480538849708
