month	KL_ENTRANT_kNIS_per_hour	KL_HAIFA_TOTAL_kNIS_per_hour	KL_LEGACY_kNIS_per_hour
2018-01		5474.619230656123	596.4313398244453
2018-02		5467.748905225831	590.6828102113795
2018-03		4870.354792660545	520.9153016796953
2018-04		4747.367475395042	501.94048465776945
2018-05		4882.7859025689895	509.5736513604976
2018-06		4785.493449765046	492.234410763826
2018-07		4678.619599350565	473.65025433351235
2018-08		5038.04066703767	501.3159206601232
2018-09		5870.9966328273	573.4764334288902
2018-10		5444.2243852216325	521.3981106515491
2018-11		5651.560777574249	530.0794963695005
2018-12		6116.538665618552	561.2576129775697
2019-01		5763.480538849708	525.0777525874665
2019-02		6659.001149376833	601.2341976107945
2019-03		5642.720670626647	503.9981629742441
2019-04		5586.238425124369	492.69027079174583
2019-05		6042.495314368012	525.2829117262239
2019-06		6403.036998860282	547.6402491011552
2019-07		6207.6858467327465	521.4163018968883
2019-08		6990.70008207406	575.6237786476258
2019-09		7158.026843997838	576.7637081347466
2019-10		6404.26708585375	504.0697671778744
2019-11		6641.266978206714	509.7136959112226
2019-12		6563.111525884876	490.32591324408196
2020-01		5660.9973425309145	420.710196682306
2020-02		5816.013177865254	430.06097788563585
2020-03		5423.795420367563	399.14068532042245
2020-04		5284.03391900888	387.0911476065287
2020-05		5797.948195856962	422.91853077413344
2020-06		6272.347191652926	455.6793509047417
2020-07		5654.912829340802	409.2756833384276
2020-08		6209.963578602344	447.87303310785614
2020-09		6257.637468880079	449.8500141974765
2020-10		5357.918330550853	384.02592762295626
2020-11		5710.858133921809	408.21410384374093
2020-12		6267.997842412749	446.7978664867175
2021-01		5113.196602013863	362.70529006811944
2021-02		5281.539293270517	373.07173516258945
2021-03		5139.132088830397	361.7328784509583
2021-04		5325.663292693204	373.79798198784584
2021-05		4848.755961310926	339.59248245176553
2021-06		5002.357115358586	349.83656744882325
2021-07	74.27388933386393	5379.695074951762	384.45143055430424
2021-08	69.66555063392784	5101.027845122333	364.4934030281412
2021-09	2721.208113225324	6165.114070216257	436.5806871167492
2021-10	1962.5052238954745	5545.317082518922	409.80254497136286
2021-11	3681.30381176546	5413.350914805498	390.1114502267177
2021-12	6107.384761109414	5636.6947817963755	393.4161808486927
2022-01	2920.82075626694	5221.641816011663	394.5637238226565
2022-02	2925.131191550391	5212.760406066632	392.38049449825814
2022-03	2942.6412844603933	5207.6782263346895	390.7537548708086
2022-04	1291.7063014616979	4678.415785318581	434.137842073951
2022-05	1310.6522531724493	4680.61602095638	433.5502214609683
2022-06	1335.2031958036425	4686.169625735016	433.56741966451347
2022-07	984.9827724961707	4918.120489383262	575.6028019640718
2022-08	1010.6900600135145	4930.900877900771	577.2095150709696
2022-09	1040.3496502620824	4947.131797016786	579.5984348869603
2022-10	561.2588657554156	4018.7743069503294	885.8668398933914
2022-11	580.8438094487343	4037.4415739221067	891.8471232652057
2022-12	602.4476625846512	4058.85151230546	898.9873738468173
2023-01	1009.9415301691806	5628.440904717564	863.4439516961672
2023-02	1002.2811778198043	5614.355616335913	859.3112799935943
2023-03	994.6789288322201	5602.440287453648	856.712267496686
2023-04	946.7193264467613	5194.33558181299	760.5821251885303
2023-05	939.538511122401	5187.275580800754	760.9750641663053
2023-06	932.4121618972131	5182.206901544565	762.7080559257075
2023-07	1001.0438712277436	5603.752137047744	828.7366936701012
2023-08	993.4510071443111	5602.551335253536	833.4879372423851
2023-09	985.9157345277929	5603.4794910581495	839.6648296555218
2023-10	1443.570447408412	6545.429109214646	775.9014542758804
2023-11	1432.6210429746293	6551.454122385514	784.1471415704648
2023-12	1421.7546891863278	6559.935179813571	793.6763837508312
2024-01	1422.6347549431018	6493.6533606848225	772.5203232176649
2024-02	1411.844146614016	6473.903123179143	766.7667081521041
2024-03	1401.1353844704727	6454.818832581816	761.2360587993727
2024-04	1674.2405617171978	7417.924341586789	842.5182291294917
2024-05	1661.5415368358035	7397.457695416178	836.8481830693698
2024-06	1648.938833377164	7377.75149588268	831.4237820312492
2024-07	1679.9624043038204	6779.110065115381	707.6870807707068
2024-08	1667.2199795532338	6762.35088935653	703.4594191306119
2024-09	1654.574205411082	6746.2858502452455	699.4397714641591
2024-10	1503.6815857083925	6747.681809284607	740.4322776069504
2024-11	1492.2762415139955	6732.962128512849	736.5940672451869
2024-12	1480.9574062437143	6718.93198354427	732.9747999900618
