port	terminal	year	month	quarter	TEU_port_m	share_i_p_q	TEU_i_m	Pi_teu_per_hour_i_y	H_annual_i_y	w_i_m_in_year	L_hours_i_m
Ashdod	Ashdod-HCT	2021	1	Q1	133397.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	2	Q1	119323.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	3	Q1	136831.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	4	Q2	130945.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	5	Q2	139946.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	6	Q2	145913.0	0.0	0.0	31.200000000000003	805.2248463582862	0.0	0.0
Ashdod	Ashdod-HCT	2021	7	Q3	153718.73848734246	0.0212822201063743	3271.4760269618228	31.200000000000003	805.2248463582862	0.1302182878960811	104.85500086416096
Ashdod	Ashdod-HCT	2021	8	Q3	155939.0567175931	0.0212822201063743	3318.7293282442124	31.200000000000003	805.2248463582862	0.1320991648885207	106.36952975141706
Ashdod	Ashdod-HCT	2021	9	Q3	107603.72972445996	0.0212822201063743	2290.046260262775	31.200000000000003	805.2248463582862	0.0911533206285426	73.39891859816585
Ashdod	Ashdod-HCT	2021	10	Q4	136624.0	0.0393229310804623	5372.456135937094	31.200000000000003	805.2248463582862	0.2138459930786122	172.1941069210607
Ashdod	Ashdod-HCT	2021	11	Q4	138218.42823376844	0.0393229310804623	5435.153727486314	31.200000000000003	805.2248463582862	0.2163416167541216	174.2036451117408
Ashdod	Ashdod-HCT	2021	12	Q4	138218.42823376844	0.0393229310804623	5435.153727486314	31.200000000000003	805.2248463582862	0.2163416167541216	174.2036451117408
Ashdod	Ashdod-HCT	2022	1	Q1	126939.33333333331	0.0563635405368669	7154.750260056199	29.6	6412.240933067442	0.0376957975122559	241.71453581270944
Ashdod	Ashdod-HCT	2022	2	Q1	126939.33333333331	0.0563635405368669	7154.750260056199	29.6	6412.240933067442	0.0376957975122559	241.71453581270944
Ashdod	Ashdod-HCT	2022	3	Q1	126939.33333333331	0.0563635405368669	7154.750260056199	29.6	6412.240933067442	0.0376957975122559	241.71453581270944
Ashdod	Ashdod-HCT	2022	4	Q2	133588.33333333334	0.0710515555389265	9491.658885185969	29.6	6412.240933067442	0.050008125844572	320.664151526553
Ashdod	Ashdod-HCT	2022	5	Q2	133588.33333333334	0.0710515555389265	9491.658885185969	29.6	6412.240933067442	0.050008125844572	320.664151526553
