design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y2	5	8	0.0		17	1.0	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y3	9	12	0.0		17	1.0	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	post_y1_2	1	8	0.0		17	1.0	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	full_post	1	40	0.0		17	1.0	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	avg_pre	-4	-2	0.0	0.0	17	0.026051726780841555	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1	1	4	0.0	0.0	17	0.026051726780841555	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y2	5	8	0.0	0.0	17	0.026051726780841555	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y3	9	12	0.0	0.0	17	0.026051726780841555	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	post_y1_2	1	8	0.0	0.0	17	0.026051726780841555	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	full_post	1	40	0.0	0.0	17	0.026051726780841555	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	avg_pre	-4	-2	0.02200100151322104	0.04060616201661805	34	0.9012436672869593	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y1	1	4	-0.14982802307355741	3.582503708129742e-14	34	0.9012436672869593	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y2	5	8	0.20223517762970378	0.14468151443203467	34	0.9012436672869593	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y3	9	12	0.0	0.0	34	0.9012436672869593	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	post_y1_2	1	8	0.02620357727807318	0.07234075721601738	34	0.9012436672869593	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	full_post	1	40	0.005240715455614637	0.014468151443203476	34	0.9012436672869593	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	avg_pre	-4	-2	-0.011933408414283253	0.04815560315979199	34	0.6930988540622548	bin_pre_4_2
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y1	1	4	-0.25573823830115205	0.07125072891477313	34	0.6930988540622548	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y2	5	8	-0.06155035699264033	0.17814785265267874	34	0.6930988540622548	bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y3	9	12	0.0	0.0	34	0.6930988540622548	bin_y3_q9_12
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	post_y1_2	1	8	-0.1586442976468962	0.12423038242636347	34	0.6930988540622548	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	full_post	1	40	-0.03172885952937923	0.024846076485272695	34	0.6930988540622548	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	privatization	haifa_priv	Haifa-Aggregate	haifa_port_agg	baseline	avg_pre	-4	-2	-0.17923377630187617	0.043180308924350846	32	0.978766511052472	bin_pre_4_2
