design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	pre_8_5	-8	-5	-0.07062412938290397	0.17531455418347705	-0.40284236361227393	0.6870641939587417	4	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	pre_4_2	-4	-2	0.017826846724809275	0.07502266140691977	0.23761949243732114	0.8121762307010651	3	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q0	0	0	0.03007040490421886	0.030424944248956948	0.988347083175009	0.3229826938899186	1	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q1	1	1	0.024276732052289474	0.06084988849791068	0.39896099486070596	0.6899219448242131	1	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q2	2	2	-0.0658404601260063	0.09127483274686593	-0.721342982995135	0.47069851743629687	1	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q3	3	3	0.08923493921018466	0.12169977699582164	0.73323831327356	0.4634130912761125	1	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	q4	4	4	0.16984502338834506	0.15212472124477647	1.1164853549020197	0.2642144355530508	1	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y2_q5_8	5	8	0.3307474258426364	0.23941148633619516	1.381501910807162	0.16712469070948133	4	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y3_q9_12	9	12	0.3028380901101907	0.42079473549776214	0.7196812710880535	0.4717212602687856	4	44	0.6539726748251546	HC1
TWFE	competition	haifa_comp	Haifa-Aggregate	haifa_port_agg	porttr	y4p_q13_40	13	40	0.2826537449914124	0.42594921948536846	0.6635855450866055	0.5069556113924623	1	44	0.6539726748251546	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	pre_8_5	-8	-5	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	pre_4_2	-4	-2	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q0	0	0	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q1	1	1	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q2	2	2	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q3	3	3	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	q4	4	4	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y2_q5_8	5	8	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y3_q9_12	9	12	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	y4p_q13_40	13	40	0.0				0	17	1.0	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	pre_8_5	-8	-5	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	pre_4_2	-4	-2	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q0	0	0	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q1	1	1	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q2	2	2	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q3	3	3	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	q4	4	4	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y2_q5_8	5	8	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y3_q9_12	9	12	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	porttr	y4p_q13_40	13	40	0.0	0.0			0	17	0.026051726780841555	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	pre_8_5	-8	-5	-0.006266578867373251	0.051008186745700484	-0.12285437431083483	0.9022224158664555	4	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	pre_4_2	-4	-2	0.02200100151322104	0.04060616201661805	0.5418143557674114	0.5879464008130109	3	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	q0	0	0	-0.1620993089944962	4.65404094261609e-14	-3482979866167.192	0.0	1	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	q1	1	1	-0.4799465688339518	4.6370493947084796e-14	-10350257846760.008	0.0	1	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	q2	2	2	-0.1417773739301138	4.44117164883396e-14	-3192341686846.0327	0.0	1	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	q3	3	3	-0.059527924615819405	4.4929022582440534e-14	-1324932553486.808	0.0	1	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	q4	4	4	0.08193977508565542	4.561436675469054e-14	1796358930648.3035	0.0	1	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	y2_q5_8	5	8	0.20223517762970378	0.14468151443203467	1.3977955540733948	0.16217446984185313	4	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	y3_q9_12	9	12	0.0	0.0			0	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	baseline	y4p_q13_40	13	40	0.0	0.0			0	34	0.9012436672869593	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	pre_8_5	-8	-5	0.17385277698940782	0.10777241480154488	1.6131472725144478	0.10671251565419505	4	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	pre_4_2	-4	-2	-0.011933408414283253	0.04815560315979199	-0.24780934369538068	0.804281925161694	3	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	q0	0	0	-0.0953804306325381	0.020357351118506502	-4.685306554732922	2.7954121363217848e-06	1	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	q1	1	1	-0.2471585960107051	0.040714702237013276	-6.070499903742782	1.2751269311301453e-09	1	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	q2	2	2	-0.21071513339952164	0.061072053355519906	-3.4502709802940736	0.0005600241090482083	1	34	0.6930988540622548	HC1
TWFE	competition	ashdod_comp	Ashdod-Aggregate	ashdod_port_agg	porttr	q3	3	3	-0.24658845525787473	0.08142940447402647	-3.0282482949574936	0.0024597589318508285	1	34	0.6930988540622548	HC1
