model	spec_id	dep_scenario	delta	param	beta	se	tvalue	pvalue	n_obs	r2	dep_var	formula	description
2A	2A_baseline	central	0.06	C(time_fe)[T.19]	5.015526211995862	0.09612040127562817	52.1796220722559	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.20]	5.015771685390324	0.09613337229017498	52.17513508472797	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.21]	4.991875922884448	0.09614272691094125	51.92151380840813	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.22]	4.992136483419876	0.09615310002836304	51.91862230076104	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.23]	4.992404567090855	0.09616214476096639	51.91652681521039	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.24]	4.94876603748172	0.09617222488455836	51.45733129728504	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.25]	4.949033905739503	0.09618095931747835	51.45544337318901	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.26]	4.947249514743948	0.09323344296788674	53.06303572257838	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.27]	4.6312538299396815	0.09323515195575552	49.67282975135205	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.28]	4.631515594534946	0.09323509414809168	49.67566812533479	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
