port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	tons_i_q	tons_i_y	TEU_i_q	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_weight_q_in_y	L_hours_i_q	tons_weight_m_in_q	L_hours_i_m	w_i_m_in_year	anchor_mode	labor_weight_source_q	labor_weight_source	teu_month_source	kpi_backfill_source
Ashdod	Ashdod-HCT	2022	9	202209	Q3	134109.44813535683	0.04626643170346786	26542.36736933044	1612166.0	200778.11	456385.278	1205139.0626	60333.0	166235.25	29.6	5616.055743243243	20223	0.3786992656394208	2126.7961857562677	0.43993117148708727	935.6439375140237	0.16660161157405004	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	10	202210	Q4	115031.31920027958	0.05161434674515913	13732.599428640397	1478682.1	130114.56559999999	558991.1506	1205139.0626	58997.25	166235.25	29.6	5616.055743243243	20224	0.463839541798618	2604.9487226614433	0.2327667718180152	606.3455049253663	0.10796643278601165	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	11	202211	Q4	128513.84312750891	0.05161434674515913	25457.717973368843	1613172.0	241208.515	558991.1506	1205139.0626	58997.25	166235.25	29.6	5616.055743243243	20224	0.463839541798618	2604.9487226614433	0.4315068579191207	1124.0532383560662	0.2001499432601663	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2022	12	202212	Q4	137468.0876722115	0.05161434674515913	19806.93259799075	1754065.1	187668.07	558991.1506	1205139.0626	58997.25	166235.25	29.6	5616.055743243243	20224	0.463839541798618	2604.9487226614433	0.335726370262864	874.5499793800103	0.15572316575244002	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	alpha2023_times_legacy_sameyear
Ashdod	Ashdod-HCT	2023	1	202301	Q1	139548.6269570134	0.07527604768576757	27837.13692352143	1812451.1	258278.23665	819496.103884	4282401.579737619	88325.0	474968.25	28.0	16963.151785714286	20231	0.19136367494386416	3246.131064344858	0.3151671318824957	1023.0738172642418	0.06031154057855187	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	2	202302	Q1	118621.65851935084	0.07527604768576757	30523.17858578851	1508859.5	283199.840693	819496.103884	4282401.579737619	88325.0	474968.25	28.0	16963.151785714286	20231	0.19136367494386416	3246.131064344858	0.34557801965228996	1121.7915447480761	0.06613107982048512	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	3	202303	Q1	132945.7145236358	0.07527604768576757	29964.68449069006	1710729.4	278018.026541	819496.103884	4282401.579737619	88325.0	474968.25	28.0	16963.151785714286	20231	0.19136367494386416	3246.131064344858	0.33925484846521436	1101.2657023325398	0.06492105454482719	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	4	202304	Q2	120607.07626327378	0.11375105618896984	40866.029530656655	1328739.8	391020.456997	1440455.228929999	4282401.579737619	150543.75	474968.25	28.0	16963.151785714286	20232	0.336366219306844	5705.831233688854	0.2714561682610978	1548.8830834416688	0.09130868502550797	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	5	202305	Q2	155288.09704820722	0.11375105618896984	55820.49272237844	1703804.9000000001	534109.988779999	1440455.228929999	4282401.579737619	150543.75	474968.25	28.0	16963.151785714286	20232	0.336366219306844	5705.831233688854	0.370792495353533	2115.6794012056175	0.1247220698094184	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	6	202306	Q2	165254.57668851904	0.11375105618896984	53857.22774696493	1825308.2	515324.783153	1440455.228929999	4282401.579737619	150543.75	474968.25	28.0	16963.151785714286	20232	0.336366219306844	5705.831233688854	0.35775133638536916	2041.2687490415672	0.1203354644719176	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	7	202307	Q3	145097.3971894218	0.11334269799425886	40905.94660486635	1688590.8	354185.78699562	1287423.20406262	4282401.579737619	148688.25	474968.25	28.0	16963.151785714286	20233	0.30063112487024163	5099.651402683934	0.27511216659599097	1402.9761462766614	0.08270728010924208	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	8	202308	Q3	149031.02701186234	0.11334269799425886	51801.27231693696	1693768.3	448523.403704	1287423.20406262	4282401.579737619	148688.25	474968.25	28.0	16963.151785714286	20233	0.30063112487024163	5099.651402683934	0.34838847263947864	1776.6597631748307	0.10473641842143187	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	9	202309	Q3	143153.8257987158	0.11334269799425886	55981.031078196684	1601157.0	484714.013363	1287423.20406262	4282401.579737619	148688.25	474968.25	28.0	16963.151785714286	20233	0.30063112487024163	5099.651402683934	0.3764993607645304	1920.015493232442	0.11318742633956769	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	10	202310	Q4	112121.43516112329	0.08897763452254348	40369.43447352597	1353355.6	339460.035671	735027.0428609999	4282401.579737619	87411.25	474968.25	28.0	16963.151785714286	20234	0.1716389808790503	2911.5380849966423	0.46183339642810245	1344.6455226237726	0.07926861349882994	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	11	202311	Q4	111537.45673975603	0.08897763452254348	29797.897409679572	1405591.0	250565.69282	735027.0428609999	4282401.579737619	87411.25	474968.25	28.0	16963.151785714286	20234	0.1716389808790503	2911.5380849966423	0.3408931620321134	992.5234241714295	0.05851055491982891	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2023	12	202312	Q4	103806.35809912065	0.08897763452254348	17243.918116794466	1368176.6	145001.31436999998	735027.0428609999	4282401.579737619	87411.25	474968.25	28.0	16963.151785714286	20234	0.1716389808790503	2911.5380849966423	0.19727344153978427	574.3691382014406	0.03385981246039148	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	1	202401	Q1	104861.55907122328	0.088836683766419	20032.40010460742	1322543.7999999998	172316.843482	878020.306786999	5851786.7638920015	102072.75	692667.0	61.0	11355.196721311475	20241	0.15004311370413487	1703.769072788557	0.19625610267781968	334.37507808848466	0.029446876729218464	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	2	202402	Q1	137347.67277316542	0.088836683766419	35058.07338361554	1688545.2	301566.288237	878020.306786999	5851786.7638920015	102072.75	692667.0	61.0	11355.196721311475	20241	0.15004311370413487	1703.769072788557	0.3434616328414346	585.1793077246948	0.05153405282943519	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	3	202403	Q1	140788.5181556113	0.088836683766419	46982.27651177704	1676087.4	404137.175067999	878020.306786999	5851786.7638920015	102072.75	692667.0	61.0	11355.196721311475	20241	0.15004311370413487	1703.769072788557	0.4602822644807458	784.2146869753776	0.06906218414548121	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
Ashdod	Ashdod-HCT	2024	4	202404	Q2	143374.32677162674	0.13783242331960488	51112.9007220922	1550867.2999999998	447052.43409	1617510.2709970009	5851786.7638920015	184935.0	692667.0	61.0	11355.196721311475	20242	0.27641305745754835	3138.7246437696335	0.2763830574098586	867.4903134127205	0.07639588592812413	work_only	tons_only_terminal_quarter_share_in_year	tons_only_month_share_in_quarter	quarter_benchmarked_by_tons	
