design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_8_5	-8	-5	-0.49189264441780844	0.4287294188505545	-1.1473265486110045	0.25124668558449537	4	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	pre_4_2	-4	-2	-0.13536170419697724	0.1568008317363231	-0.8632715955525161	0.38798815750327287	3	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q0	0	0	0.10722096542498871	0.07611204366824757	1.4087253509094666	0.15891639579788475	1	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	0.18304286689815963	0.15222408733649487	1.202456655191101	0.22918664999148974	1	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	0.10106496959170563	0.22833613100474298	0.4426148816089308	0.6580443188715781	1	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q3	3	3	0.3561667677869156	0.30444817467298996	1.169876509095438	0.24205066851704138	1	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	q4	4	4	0.6747459283208839	0.3805602183412378	1.7730332699038391	0.07622319409759544	1	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y2_q5_8	5	8	1.2937817647319192	0.6007476964658696	2.153619185463532	0.031270048448664725	4	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y3_q9_12	9	12	1.1207539087307734	0.9853459859841518	1.137421702298181	0.25536203908930866	4	41	0.664555564505163	HC1
TWFE	competition	haifa_comp	Haifa-Legacy	haifa_legacy	porttr	y4p_q13_40	13	40	1.1785345984287863	1.0655686113554657	1.1060147473090647	0.26872013634303604	1	41	0.664555564505163	HC1
TWFE	competition	ashdod_comp	Ashdod-Legacy	ashdod_legacy	baseline	pre_8_5	-8	-5	0.49696382730900035	0.05099198012252778	9.74592134125512	1.920289445614594e-22	4	31	0.9406259958408599	HC1
