design	table_group	reform	target	target_key	spec_name	bin_label	a	b	beta	se	t	pvalue	n_event_obs	n_obs	r2	se_type
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q1	1	1	-0.5141914781387622	0.025154170626193014	-20.44159935861034	7.136190695428428e-93	1	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q2	2	2	-0.781230535676003	0.0377312559392896	-20.705129374251936	3.1139768597308305e-95	1	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q3	3	3	-1.104267317869243	0.050308341252386146	-21.949984642295618	8.663071862614118e-107	1	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	q4	4	4	-0.46939203304364074	0.06288542656548268	-7.464241855064181	8.378059116420973e-14	1	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y2_q5_8	5	8	-0.9143556699817796	0.13404137213154654	-6.821443674005682	9.013010805314388e-12	3	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y3_q9_12	9	12	0.0	0.0			0	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	y4p_q13_40	13	40	0.0	0.0			0	28	0.8349536799473694	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	pre_8_5	-8	-5	0.8482185323357736	0.030178676352323835	28.10655187236065	8.146767014077885e-174	2	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	pre_4_2	-4	-2	1.069637425561756	0.3856654722267279	2.773485060474715	0.005545938676032136	3	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q0	0	0	-0.3519932540914339	1.6432189040545812e-14	-21420959387876.06	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q1	1	1	0.6595894915464082	1.3681966404241064e-14	48208676447411.26	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q2	2	2	0.964275760245783	1.9101188603933878e-14	50482500342789.71	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q3	3	3	1.3491658445659434	1.8526544927063784e-14	72823392050563.45	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	q4	4	4	0.7161915072033538	1.4104180087472183e-14	50778670065302.11	0.0	1	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	y2_q5_8	5	8	1.1939061398911768	0.15083755136449248	7.9151784757242165	2.4689865463649567e-15	3	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	y3_q9_12	9	12	0.0	0.0			0	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	y4p_q13_40	13	40	0.0	0.0			0	28	0.8970271780336675	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	pre_8_5	-8	-5	0.05600512236941446	0.09765147901355195	0.573520472348833	0.5662923415986387	2	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	pre_4_2	-4	-2	0.2953329272448584	0.1789727764436928	1.650155588538763	0.09891111765146925	3	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	q0	0	0	0.180110649602522	0.020813276455239785	8.653642303260655	4.988137936240583e-18	1	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	q1	1	1	0.19816892592136295	0.04162655291047964	4.760637431293841	1.929824680312135e-06	1	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	q2	2	2	0.26220159334035076	0.06243982936571927	4.19926825559688	2.6777893236308468e-05	1	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	q3	3	3	0.35044035172413013	0.083253105820959	4.209336676012712	2.561215031426414e-05	1	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	q4	4	4	0.37872675544399836	0.10406638227619887	3.639280497315965	0.00027340086988137074	1	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	y2_q5_8	5	8	0.4642486637073979	0.14963515201239153	3.1025374550289677	0.001918692665989804	3	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	y3_q9_12	9	12	0.0	0.0			0	28	0.10552686890983587	HC1
NYT	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	y4p_q13_40	13	40	0.0	0.0			0	28	0.10552686890983587	HC1
