series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	beta	se	pvalue	n_obs	r2
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.30271467173131617			84	0.7222217556872796
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	baseline	post_13_24	Average post, months 13-24	13	24	13	23	11	-0.12197846867051602			84	0.7222217556872796
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	baseline	post_full	Average full post	1	24	1	23	23	-0.19451095670218108			84	0.7222217556872796
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre	-12	-2	-12	-2	11	-0.2753565880619842	0.022580401643516455	0.0	84	0.78118418203827
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.25215825548070403	0.016935301232639033	0.0	84	0.78118418203827
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.19949562749773045	0.00047042503414763856	0.0	84	0.78118418203827
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	ctrl_trend	post_13_24	Average post, months 13-24	13	24	13	23	11	0.009107196860701433	0.011525413338889528	0.4294203366348368	84	0.78118418203827
Haifa_port_KL	Haifa aggregate	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post	1	24	1	23	23	-0.11346713619143006	0.00980733930079064	0.0	84	0.78118418203827
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	avg_pre	Average pre	-12	-2	-2	-2	1	0.1161405705023455	3.7252902984307616e-09	0.0	42	0.9892611585192378
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	4.37701183259885	3.7252902984450723e-09	0.0	42	0.9892611585192378
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	3.385036045393936	3.725290298481388e-09	0.0	42	0.9892611585192378
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_24	Average post, months 13-24	13	24	13	24	12	2.8305200293364976	3.725290298457551e-09	0.0	42	0.9892611585192378
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_full	Average full post	1	24	1	24	24	3.355771984166445	3.7252902984571143e-09	0.0	42	0.9892611585192378
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	avg_pre	Average pre	-12	-2	-2	-2	1	0.12142862584831615	0.004506513711372741	0.0	42	0.9894867320512889
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	2.9890980777198215	0.007354044560244748	0.0	42	0.9894867320512889
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	0.6012764526169205	0.007952138384398953	0.0	42	0.9894867320512889
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_24	Average post, months 13-24	13	24	13	24	12	-0.0008320615543569634	0.03261682298663433	0.9796480157300294	42	0.9894867320512889
Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_full	Average full post	1	24	1	24	24	0.897177601807007	0.012487543887717978	0.0	42	0.9894867320512889
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	avg_pre	Average pre	-12	-2	-12	-2	11	0.8268680050995667	5.960464477539068e-08	0.0	42	0.26821310645959484
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.028886486235334952	5.960464477539076e-08	0.0	42	0.26821310645959484
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	0.3501313318172916	5.960464477539003e-08	0.0	42	0.26821310645959484
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_24	Average post, months 13-24	13	24	13	23	11	0.47715136320093865	5.96046447753907e-08	0.0	42	0.26821310645959484
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_full	Average full post	1	24	1	23	23	0.31200582907400287	5.960464477539046e-08	0.0	42	0.26821310645959484
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre	-12	-2	-12	-2	11	6.637851183188717	0.8556804980368651	8.659739592076221e-15	42	0.7411170210227408
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	-4.3871238698022275	0.641760373527583	8.139044993527023e-12	42	0.7411170210227408
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	0.1709514709598201	0.017826677042454733	0.0	42	0.7411170210227408
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_24	Average post, months 13-24	13	24	13	23	11	-2.9392343162168735	0.43675358753963267	1.6997736551616072e-11	42	0.7411170210227408
Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_full	Average full post	1	24	1	23	23	-2.5055918204973935	0.37164746268899135	1.5638157435660105e-11	42	0.7411170210227408
