series_id	series_display	is_main_series	reform	reform_display	spec_name	event_bin	event_kind	event_time	is_reference	beta	se	pvalue	n_obs	r2
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-10	exact	-10.0	0	0.18417509415898614	0.04753545806836005	0.00010685342480347777	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-9	exact	-9.0	0	0.1630422601303138	0.042253740505203356	0.00011401657923937005	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-8	exact	-8.0	0	-0.062293668525933654	0.036972022942091065	0.09201043935125101	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-7	exact	-7.0	0	-0.005585213556829172	0.03169030537892389	0.8601025677173368	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-6	exact	-6.0	0	-0.07320945564201065	0.026408587815786325	0.005568161052433924	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-5	exact	-5.0	0	-0.0851101968153625	0.021126870252635616	5.612708139686769e-05	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-4	exact	-4.0	0	-0.04952424940344535	0.01584515268951549	0.001774945129238087	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-3	exact	-3.0	0	-0.07541271673228463	0.01056343512635794	9.398946115854926e-13	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-2	exact	-2.0	0	0.01291942337803409	0.005281717563267258	0.014442504317364746	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	-1	reference	-1.0	1	0.0	0.0		84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	0	exact	0.0	0	0.08357600380278551	0.005281717563255443	2.1376415859410467e-56	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	1	exact	1.0	0	-0.04450888448971414	0.010563435126338849	2.5145934161951638e-05	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	2	exact	2.0	0	0.05285415965406681	0.015845152689444576	0.00085094897013747	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	3	exact	3.0	0	0.021292678970447357	0.021126870252590146	0.3135273239171281	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	4	exact	4.0	0	-0.42670222992205264	0.11476446528778482	0.00020075124104787035	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	5	exact	5.0	0	-0.4232689045032205	0.11984274849640292	0.0004126335038417552	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	6	exact	6.0	0	-0.49724836695187413	0.1249379018648388	6.892566970953146e-05	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	7	exact	7.0	0	-0.3260371316952225	0.1300479425382767	0.012174233063158756	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	8	exact	8.0	0	-0.1383113715993849	0.13517118211854304	0.30619854193575946	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	9	exact	9.0	0	-0.13666181031318048	0.14030617475022378	0.33004381333820065	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	10	exact	10.0	0	0.1747632644358621	0.14545167565756256	0.22954910775197424	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	11	exact	11.0	0	0.1575772520880745	0.15060660779321308	0.2954300281847553	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	12	exact	12.0	0	0.5966391257471795	0.1557700348308317	0.00012800996161046514	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	13	exact	13.0	0	0.677503406548797	0.1609411391541992	2.55783893464601e-05	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	14	exact	14.0	0	1.742452503374591	0.16611920380899814	9.687603649850377e-26	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	15	exact	15.0	0	1.7908330752702677	0.1713035976179591	1.4025439507567338e-25	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	16	exact	16.0	0	1.3497972622372654	0.17649376283712212	2.0437246342457456e-14	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	17	exact	17.0	0	1.2629408782843021	0.18168920486588203	3.624340245718052e-12	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	18	exact	18.0	0	4.763151341414607	0.18688948362606606	2.785355021403661e-143	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	19	exact	19.0	0	1.6001734783002945	0.19209420630532692	8.074025373216992e-17	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	20	exact	20.0	0	0.1728115843392546	0.19730302122106888	0.3811012967593702	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	21	exact	21.0	0	0.38644183970362334	0.20251561260969084	0.056364384247090844	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	22	exact	22.0	0	0.4531417368281012	0.20773169618340262	0.029155332551625	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	23	exact	23.0	0	-0.02514660120774259	0.2129510153265826	0.9059992646488324	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	24	exact	24.0	0	0.9399279357391439	0.2181733378276241	1.6461048180069997e-05	84	0.9378229200614283
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	<= -13	tail_left		0	-1.8662795581262004	0.05199655752568888	4.018378538308959e-282	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	>= 25	tail_right		0				84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-12	exact	-12.0	0	-2.218068699106137	4.214684851089444e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-11	exact	-11.0	0	-2.2145868833314974	4.214684851089611e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-10	exact	-10.0	0	-2.288517855424346	4.2146848510899514e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-9	exact	-9.0	0	-2.117258129811895	4.2146848510897357e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-8	exact	-8.0	0	-1.9294838793602578	4.214684851089402e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-7	exact	-7.0	0	-1.9277858277182522	4.214684851089579e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-6	exact	-6.0	0	-1.6163122626134232	4.2146848510892804e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-5	exact	-5.0	0	-1.6334497846053966	4.2146848510893684e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-4	exact	-4.0	0	-1.19433942059048	4.214684851089783e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-3	exact	-3.0	0	-1.1134266494330625	4.2146848510895246e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-2	exact	-2.0	0	-0.048429062251476473	4.2146848510893704e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	-1	reference	-1.0	1	0.0	0.0		84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	0	exact	0.0	0	-0.44098732267719676	4.214684851089415e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	1	exact	1.0	0	-0.52779521627436	4.214684851089414e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	2	exact	2.0	0	2.9724637372117444	4.214684851089473e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	3	exact	3.0	0	-0.1904656355467657	4.2146848510893704e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	4	exact	4.0	0	-1.6177790391519977	4.214684851089599e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	5	exact	5.0	0	-1.4041002934318267	4.21468485108956e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	6	exact	6.0	0	-1.3373519059515537	4.214684851089393e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	7	exact	7.0	0	-1.815591753631589	4.214684851089471e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	8	exact	8.0	0	-0.8504687263289004	4.214684851089459e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	9	exact	9.0	0	-2.142121045749821	4.214684851089354e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	10	exact	10.0	0	-1.6433317564631311	4.214684851089356e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	11	exact	11.0	0	-1.4693724738165155	4.214684851089366e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	12	exact	12.0	0	-1.1067632036971045	4.214684851089415e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	13	exact	13.0	0	-1.2429077140711038	4.2146848510893876e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	14	exact	14.0	0	-0.4957919919052918	4.2146848510894624e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	15	exact	15.0	0	-1.3666309478106298	4.214684851089543e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	16	exact	16.0	0	-0.6592746422173477	4.214684851089563e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	17	exact	17.0	0	-1.3389577340872025	4.21468485108946e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	18	exact	18.0	0	-1.528081191241756	4.214684851089737e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	19	exact	19.0	0	-1.560428267757179	4.214684851089374e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	20	exact	20.0	0	-1.6496570798383505	4.214684851089392e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	21	exact	21.0	0	-1.5721888440475895	4.2146848510895484e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	22	exact	22.0	0	-1.737562539792786	4.2146848510894227e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	23	exact	23.0	0	-1.4818992238370166	4.2146848510893704e-08	0.0	84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	24	exact	24.0	0				84	0.9683680856562481
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	<= -13	tail_left		0	-1.8018051419201095	0.07916917857498561	1.1708974662755026e-114	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	>= 25	tail_right		0				84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-12	exact	-12.0	0	-2.236089913865623	0.018896570569782636	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-11	exact	-11.0	0	-2.2309698058401146	0.01717870051798489	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-10	exact	-10.0	0	-2.3032624856821027	0.015460830466187151	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-9	exact	-9.0	0	-2.130364467818789	0.013742960414390935	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-8	exact	-8.0	0	-1.9409519251162903	0.012025090362594219	0.0	84	0.9923175883783979
Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	-7	exact	-7.0	0	-1.9376155812234188	0.010307220310798393	0.0	84	0.9923175883783979
