table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	competition	1	pretrend_p	Pre-period joint p-value	6	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9283707724927189				0.000
main	competition	1	pretrend_p	Pre-period joint p-value	6	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9378229200614283				1.000
main	competition	1	pretrend_p	Pre-period joint p-value	6	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.5373374865517067				0.000
main	competition	1	pretrend_p	Pre-period joint p-value	6	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.6737655178149958				1.000
main	competition	1	n_obs	Observations	7	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9283707724927189				84
main	competition	1	n_obs	Observations	7	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9378229200614283				84
main	competition	1	n_obs	Observations	7	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.5373374865517067				84
main	competition	1	n_obs	Observations	7	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.6737655178149958				84
main	competition	1	r2	R^2	8	summary	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				84	0.9283707724927189				0.928
main	competition	1	r2	R^2	8	summary	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				84	0.9378229200614283				0.938
main	competition	1	r2	R^2	8	summary	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3				84	0.5373374865517067				0.537
main	competition	1	r2	R^2	8	summary	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4				84	0.6737655178149958				0.674
main	privatization	2	avg_pre	Average pre	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-1.6637871322042024	4.214684851089516e-08	0.0	84	0.9683680856562481	-12.0	-2.0	11.0	-1.664*** (0.000)
main	privatization	2	avg_pre	Average pre	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-1.673616885709373	0.01030722031079759	0.0	84	0.9923175883783979	-12.0	-2.0	11.0	-1.674*** (0.010)
main	privatization	2	avg_pre	Average pre	1	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.31918963572813097			84	0.7222217556872796	-12.0	-2.0	11.0	-0.319
main	privatization	2	avg_pre	Average pre	1	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	-0.2753565880619842	0.022580401643516455	0.0	84	0.78118418203827	-12.0	-2.0	11.0	-0.275*** (0.023)
