entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa port cluster	Haifa		2019	2.0	24230.0	14	54.05295618361082	3.989964236088395	12657215.345412826	1969.2354963607736	6427.476738462144	8.768337320068873	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	3.0	24231.0	15	52.71595114561535	3.964918088034407	12670527.7401539	2385.350112580847	5311.810485734075	8.577688013888457	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	4.0	24232.0	16	59.52128684744133	4.08633401071184	12700313.059520254	2138.999452856638	5937.501780357616	8.689043748192555	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	5.0	24233.0	17	57.48679589664896	4.05155528485277	12746535.963957282	2054.9240596462973	6202.923122205923	8.732775931249035	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	6.0	24234.0	18	53.28929053269322	3.975735382890986	12809161.176273588	2102.2422869614097	6093.094623640173	8.714911380021256	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	7.0	24235.0	19	55.8222305894634	4.022172187708623	12888153.48161398	2082.772378894249	6187.979835058282	8.730363952970498	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	8.0	24236.0	20	55.46036458026362	4.015668613917623	12983477.727432048	1875.321245850808	6923.335271841182	8.842652908198328	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	9.0	24237.0	21	55.17765315355813	4.010558037140901	13095098.823462332	1856.6936820398937	7052.912901106627	8.861195987933945	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	10.0	24238.0	22	47.704082659760914	3.8650169845830322	13222981.741692036	2423.7757766911327	5455.53011497774	8.60438507319315	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2019	11.0	24239.0	23	62.256663600606245	4.131265575408697	13367091.516332382	1810.456800625956	7383.270074000539	8.90697191891301	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
