port	company	operator_or_owner	month	year	imputed_2022	flows_imputed_annual	gap_years_from_prev_annual	K_big_central	K_PIM_real_central	gap_PathB_minus_PIM_central	K_bg_low	K_bg_central	K_bg_high	K_PathB_low	K_PathB_central	K_PathB_high	lumpy_event_month	num_projects_commissioned	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	K_PIM_real_low	K_PIM_real_high	flows_imputed_flag	gap_years_from_prev
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2018-12-01	2018	0	False	0	252059.43749244767	1171216.3579983236	-4.656612873077393e-10	919156.9205058756	919156.9205058756	919156.9205058756	1171216.3579983232	1171216.3579983232	1171216.3579983232	0	0	1171216.3579983236	1171216.3579983236	1171216.3579983236	1171216.3579983236	1171216.3579983236	False	0.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-01-01	2019	0	False	1	251435.46558494758			917775.8003338124	915729.439941536	913632.5907826173	1169211.2659187599	1167164.9055264837	1165068.056367565	0	0	1169219.4777684116	1167230.014365784	1165240.5509631569				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-02-01	2019	0	False	1	250813.1236831036			916396.7554253817	912314.7402449225	908141.4634627921	1167209.8791084853	1163127.863928026	1158954.5871458957	0	0	1167222.5975384994	1163243.6707332449	1159264.7439279903				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-03-01	2019	0	False	1	250192.40728201903			915152.9476153309	909241.4411399481	903210.107723256	1165345.35489735	1159433.8484219671	1153402.5150052751	0	0	1165418.9637824495	1159643.1022909512	1153867.2407994526				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-04-01	2019	0	False	1	249573.31188992382			913777.8437910798	905850.9347984601	897781.6217562498	1163351.1556810036	1155424.2466883839	1147354.9336461737	0	0	1163422.0835525375	1155656.7586584117	1147891.433764286				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-05-01	2019	0	False	1	248955.83302813448			912449.0655064886	902581.8379258045	892559.3148927293	1161404.898534623	1151537.670953939	1141515.1479208637	0	0	1161489.618813913	1151799.006755954	1142108.3946979956				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-06-01	2019	0	False	1	248339.96623101426			911078.0245207365	899216.1648419176	887194.8424691113	1159417.9907517508	1147556.131072932	1135534.8087001257	0	0	1159492.7385840009	1147812.6631234146	1136132.5876628289				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-07-01	2019	0	False	1	247725.70704593335			909753.1722026623	895971.0119813313	882034.1178532043	1157478.8792485958	1143696.7190272645	1129759.8248991375	0	0	1157560.2738453762	1143954.9112209573	1130349.5485965386				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-08-01	2019	0	False	1	247113.0510332293			908386.1820514747	892629.9902675567	876732.9041153993	1155499.233084704	1139743.041300786	1123845.9551486287	0	0	1155563.3936154642	1139968.5675884178	1124373.7415613718				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-09-01	2019	0	False	1	246501.99376616755			907021.2459322272	889301.4270216805	871463.5518062244	1153523.2396983947	1135803.420787848	1117965.545572392	0	0	1153566.513385552	1135982.2239558783	1118397.934526205				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-10-01	2019	0	False	1	245892.53083090202			905702.2928152904	886092.0551457547	866394.3345515842	1151594.8236461924	1131984.5859766568	1112286.8653824863	0	0	1151634.048646927	1132124.4720534207	1112614.8954599148				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-11-01	2019	0	False	1	245284.65782643575			904341.3894933608	882787.8714645219	861187.119257169	1149626.0473197964	1128072.5292909576	1106471.7770836046	0	0	1149637.168417015	1128138.1284208817	1106639.088424748				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2019-12-01	2019	0	False	1	244678.37036458202	1124280.376518424	0.0	903026.333313808	879602.0061538419	856177.6789938754	1147704.70367839	1124280.376518424	1100856.0493584573	0	0	1147704.7036783907	1124280.376518424	1100856.0493584578	1147704.7036783907	1100856.0493584578	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-01-01	2020	0	False	1	244073.66406992511			903820.1572082263	878567.9101999253	853354.5712168833	1147893.8212781514	1122641.5742698505	1097428.2352868083	0	0	1147896.4235005567	1122646.9387783958	1097476.8151646464				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-02-01	2020	0	False	1	243470.5345797816			904614.678929888	877535.0299713418	850540.7721823589	1148085.2135096695	1121005.5645511234	1094011.3067621405	0	0	1148088.1433227228	1121013.5010383676	1094097.5809708347				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-03-01	2020	0	False	1	242868.9775441615			905358.5734769024	876569.8865153665	847916.9086474464	1148227.551021064	1119438.8640595279	1090785.886191608	0	0	1148267.4941241038	1119485.4463783414	1090936.3618863015				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-04-01	2020	0	False	1	242268.98862572957			906154.4475750643	875539.3552448272	845121.0394280368	1148423.4362007938	1117808.343870557	1087390.0280537663	0	0	1148459.2139462698	1117852.0086383133	1087557.12769249				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-05-01	2020	0	False	1	241670.56349976707			906925.3144494132	874543.2204753439	842424.1374968617	1148595.8779491803	1116213.7839751109	1084094.7009966287	0	0	1148644.7492580437	1116271.262438286	1084286.9010533176				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-06-01	2020	0	False	1	241073.697854133			907722.565823491	873515.0718359688	839646.3798042216	1148796.263677624	1114588.7696901017	1080720.0776583545	0	0	1148836.4690802095	1114637.824698258	1080907.666859506				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-07-01	2020	0	False	1	240478.38738922618			908494.7666982573	872521.2401715083	836966.9482937591	1148973.1540874834	1112999.6275607345	1077445.3356829854	0	0	1149022.0043919832	1113057.0784982308	1077637.4402203336				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-08-01	2020	0	False	1	239884.62781794678			909293.397731656	871495.4686545549	834207.1848021551	1149178.0255496027	1111380.0964725018	1074091.812620102	0	0	1149213.7242141492	1111423.6407582026	1074258.2060265222				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-09-01	2020	0	False	1	239292.4148656586			910092.7308181091	870470.9030763875	831456.5211854582	1149385.1456837677	1109763.317942046	1070748.9360511168	0	0	1149405.4440363152	1109790.2030181745	1070878.9718327106				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-10-01	2020	0	False	1	238701.74427015084			910866.9479955996	869480.5348797039	828803.2246834674	1149568.6922657504	1108182.2791498548	1067504.9689536183	0	0	1149590.9793480886	1108209.456818147	1067608.7451935385				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-11-01	2020	0	False	1	238112.61178160066			911667.6643438182	868458.3381397717	826070.3797534879	1149780.276125419	1106570.9499213723	1064182.9915350885	0	0	1149782.6991702546	1106576.0190781192	1064229.5109997268				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2020-12-01	2020	0	False	1	237525.01316253515	1104995.272878092	-4.656612873077393e-10	912443.2213194937	867470.2597155564	823434.2711980195	1149968.234482029	1104995.2728780915	1060959.2843605545	0	0	1149968.2344820283	1104995.272878092	1060959.2843605543	1149968.2344820283	1060959.2843605543	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-01-01	2021	0	False	1	236938.9441877941			915178.1648627003	868518.7516841261	822910.0481420915	1152117.1090504944	1105457.6958719203	1059848.9923298857	0	0	1152158.93797262	1105461.7829528055	1059848.019592361				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-02-01	2021	0	False	1	236354.4006444924			917921.3060844156	869568.5109415707	822386.1588223501	1154275.706728908	1105922.9115860632	1058740.5594668426	0	0	1154349.6414632115	1105928.2930275188	1058736.7548241678				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-03-01	2021	0	False	1	235771.3783319826			920406.0485432051	870517.7711293347	821913.2551456724	1156177.4268751878	1106289.1494613173	1057684.633477655	0	0	1156328.3413901974	1106349.6569659696	1057733.031807735				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-04-01	2021	0	False	1	235189.87306181798			923164.8597445764	871569.9465570282	821390.0004143722	1158354.7328063943	1106759.8196188463	1056579.8734761903	0	0	1158519.044880789	1106816.167040683	1056621.767039542				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-05-01	2021	0	False	1	234609.88065771532			925842.5501806296	872589.3916929697	820883.9420444669	1160452.4308383449	1107199.272350685	1055493.8227021822	0	0	1160639.0805168457	1107267.6284033088	1055546.3495219357				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-06-01	2021	0	False	1	234031.396955518			928617.6566699743	873644.0710422642	820361.3426048848	1162649.0536254924	1107675.4679977822	1054392.7395604027	0	0	1162829.784007437	1107734.1384780223	1054435.084753743				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-07-01	2021	0	False	1	233454.417803159			931311.1632433326	874665.9422096749	819855.9179910441	1164765.5810464916	1108120.360012834	1053310.3357942032	0	0	1164949.8196434935	1108185.5998406482	1053359.6672361365				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-08-01	2021	0	False	1	232878.93906062437			934102.6612709526	875723.1314392979	819333.9730225347	1166981.600331577	1108602.0704999224	1052212.9120831592	0	0	1167140.5231340851	1108652.1099153615	1052248.402467943				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-09-01	2021	0	False	1	232304.9565999165			936902.5264926378	876781.5984699784	818812.3603399129	1169207.4830925544	1109086.555069895	1051117.3169398294	0	0	1169331.2266246767	1109118.619990075	1051137.1376997498				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-10-01	2021	0	False	1	231732.4663050176			939620.0637864616	877807.1394943956	818307.8900540281	1171352.5300914792	1109539.6057994133	1050040.3563590457	0	0	1171451.262260733	1109570.081352701	1050061.7201821436				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-11-01	2021	0	False	1	231161.4640718534			942436.4667871917	878868.1254191651	817786.9306067246	1173597.9308590451	1110029.5894910186	1048948.394678578	0	0	1173641.9657513243	1110036.5914274142	1048950.4554139504				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2021-12-01	2021	0	False	1	230591.94580825683	1110488.0527900402	-2.3283064365386963e-10	945170.0555791245	879896.106981783	817283.0920880866	1175762.0013873812	1110488.05279004	1047875.0378963435	0	0	1175762.001387381	1110488.0527900402	1047875.037896344	1175762.001387381	1047875.037896344	False	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-01-01	2022	1	True	1	230023.90743393177			941677.7369666469	874642.1583711299	810433.0162130392	1171701.6444005787	1104666.0658050617	1040456.9236469709	0	0	1171767.6318484212	1104829.1273703428	1040755.2294196784				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-02-01	2022	1	True	1	229457.34488041722			938198.3221583251	869419.5816187968	803640.3543967776	1167655.6670387425	1098876.926499214	1033097.6992771948	0	0	1167773.2623094614	1099170.2019506458	1033635.4209430128				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-03-01	2022	1	True	1	228892.25409105117			935066.6763448386	864729.2244632407	797553.9952028358	1163958.9304358899	1093621.4785542919	1026446.2492938869	0	0	1164165.4446613684	1094058.9144747902	1027204.6261898956				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-04-01	2022	1	True	1	228328.6310209349			931611.6888127741	859565.8388414494	790869.2791791279	1159940.319833709	1087894.4698623843	1019197.9102000628	0	0	1160171.0751224086	1088399.989055093	1020084.81771323				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-05-01	2022	1	True	1	227766.47163689721			928280.3077825811	854598.3712452584	784453.5501802505	1156046.7794194783	1082364.8428821557	1012220.0218171477	0	0	1156305.5562137377	1082923.6096166763	1013194.6804777472				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-06-01	2022	1	True	1	227205.77191745883			924850.3952738959	849495.4779722422	777878.6358192364	1152056.1671913548	1076701.249889701	1005084.4077366953	0	0	1152311.186674778	1077264.6841969793	1006074.8720010816				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-07-01	2022	1	True	1	226646.52785279698			921543.1921767467	844586.2074204652	771568.2901618447	1148189.7200295436	1071232.7352732623	998214.8180146416	0	0	1148445.667766107	1071788.3047585625	999184.7347655988				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-08-01	2022	1	True	1	226088.73544471			918138.1727061829	839543.0977898579	765101.3738857647	1144226.908150893	1065631.833234568	991190.1093304747	0	0	1144451.2982271472	1066129.3793388654	992064.9262889331				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-09-01	2022	1	True	1	225532.390706582			914745.7344772726	834530.101076704	758688.6602080227	1140278.1251838547	1060062.491783286	984221.0509146047	0	0	1140456.9286881874	1060470.453919168	984945.1178122676				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-10-01	2022	1	True	1	224977.48966334786			911474.6649706512	829707.3160754621	752533.9884227345	1136452.154633999	1054684.80573881	977511.4780860824	0	0	1136591.4097795165	1054994.0744807515	978054.9805767848				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-11-01	2022	1	True	1	224424.02835145814			908106.847805381	824753.0498093042	746226.6085574819	1132530.876156839	1049177.0781607623	970650.63690894	0	0	1132597.0402405567	1049335.1490610542	970935.1721001192				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2022-12-01	2022	1	True	1	223872.00281884402	1043858.7696226377	2.3283064365386963e-10	904859.5185130419	819986.7668037938	740173.0320457917	1128731.5213318858	1043858.7696226379	964045.0348646358	0	0	1128731.5213318858	1043858.7696226377	964045.0348646364	1128731.5213318858	964045.0348646364	True	1.0
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-01-01	2023	0	True	1	223321.40912488266			901232.2477776825	814777.3688383611	733602.1150864396	1124553.6569025652	1038098.7779632438	956923.5242113223	0	0	1131822.5955752404	1045465.0487288784	964420.48006686				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-02-01	2023	0	True	1	222772.24334036245			897619.5175237111	809601.0663181978	727089.5317164207	1120391.7608640734	1032373.3096585602	949861.7750567831	0	0	1134913.6698185948	1047071.327835119	964795.9252690838				
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy)	2023-03-01	2023	0	True	1	222224.50154744834			894368.8556923162	804953.9676241996	721256.9064693181	1116593.3572397646	1027178.4691716479	943481.4080167664	0	0	1137705.6078448505	1048522.1605762396	965135.0370646408				
