port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_SIPG_low	K_SIPG_central	K_SIPG_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2018-12-01	2018	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	0.0	0.0	0.0	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2018-12-01	2018	12763818.207287256	12763818.207287256	12763818.207287256	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	0.0	0.0	0.0	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2018-12-01	2018	11592601.849288931	11592601.849288931	11592601.849288931	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	0.0	0.0	0.0	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2018-12-01	2018	0.0	0.0	0.0	1171216.357998324	1171216.357998324	1171216.357998324	11592601.849288931	11592601.849288931	11592601.849288931	0.0	0.0	0.0	12763818.207287256	12763818.207287256	12763818.207287256
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-01-01	2019	1169214.6688956444	1167172.6249497116	1165076.840583413	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	0.0	0.0	0.0	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-01-01	2019	12814422.344767464	12793461.585698424	12772109.469818234	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	0.0	0.0	0.0	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-01-01	2019	11645207.67587182	11626288.960748712	11607032.62923482	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	0.0	0.0	0.0	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-01-01	2019	0.0	0.0	0.0	1169214.6688956444	1167172.6249497116	1165076.840583413	11645207.67587182	11626288.960748712	11607032.62923482	0.0	0.0	0.0	12814422.344767464	12793461.585698424	12772109.469818234
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-02-01	2019	1167217.132135922	1163142.9299782943	1158971.5769940724	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	0.0	0.0	0.0	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-02-01	2019	12865269.35347587	12823216.894057246	12780452.949994512	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	0.0	0.0	0.0	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-02-01	2019	11698052.221339948	11660073.964078952	11621481.37300044	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	0.0	0.0	0.0	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-02-01	2019	0.0	0.0	0.0	1167217.132135922	1163142.9299782943	1158971.5769940724	11698052.221339948	11660073.964078952	11621481.37300044	0.0	0.0	0.0	12865269.35347587	12823216.894057246	12780452.949994512
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-03-01	2019	1165326.3470949768	1159425.1119508226	1153396.3034439925	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	0.0	0.0	0.0	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-03-01	2019	12911315.210571917	12850098.939659864	12787943.613570513	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	0.0	0.0	0.0	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-03-01	2019	11745988.86347694	11690673.827709042	11634547.31012652	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	0.0	0.0	0.0	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-03-01	2019	0.0	0.0	0.0	1165326.3470949768	1159425.1119508226	1153396.3034439925	11745988.86347694	11690673.827709042	11634547.31012652	0.0	0.0	0.0	12911315.210571917	12850098.939659864	12787943.613570513
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2019-04-01	2019	1163336.9576934697	1155422.2721471528	1147355.9583653756	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	0.0	0.0	0.0	12962627.699491628	12880068.200114097	12796386.26326612
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2019-04-01	2019	12962627.699491628	12880068.200114097	12796386.26326612	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	0.0	0.0	0.0	12962627.699491628	12880068.200114097	12796386.26326612
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2019-04-01	2019	11799290.741798157	11724645.927966945	11649030.304900745	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	0.0	0.0	0.0	12962627.699491628	12880068.200114097	12796386.26326612
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2019-04-01	2019	0.0	0.0	0.0	1163336.9576934697	1155422.2721471528	1147355.9583653756	11799290.741798157	11724645.927966945	11649030.304900745	0.0	0.0	0.0	12962627.699491628	12880068.200114097	12796386.26326612
