company	year	deflator	budget_rmb	cip_opening_rmb	cip_closing_rmb	I_RMB	T_RMB	E_RMB	I_real_kNIS	T_real_kNIS	K_completed_real_kNIS	K_gross_real_kNIS
SIPG Haifa Bayport	2018	0.9934449703115105	4980000000	634432.83	25519122.94	24884690.11	0.0	0.0	13617.054458240887	0.0	0.0	13964.219978808664
SIPG Haifa Bayport	2019	1.0	4977300000	25519122.94	1069545860.8	0.0	0.0	0.0	0.0	0.0	0.0	551634.8741088883
SIPG Haifa Bayport	2020	1.012793420343926	4977300000	1069545860.8	2143511161.59	1081331772.37	8997549.05	0.0	531822.3864728586	4425.189502838618	4425.189502838618	1058650.4055893773
SIPG Haifa Bayport	2021	1.047769668041202	4977300000	2143511161.59	745857891.94	1325326897.5900002	2677229547.18	11984163.14	632930.2743236977	1278552.20836871	1282849.1265092934	1639045.0514622324
SIPG Haifa Bayport	2022	1.0964912223792362	4977300000	745857891.94	0.0	267700816.73	942154587.82	71404120.85	121741.60421033931	428461.19162580796	1650069.7020628757	1650069.7020628757
SIPG Haifa Bayport	2023	1.1715000986796444	4977300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1610041.6734477528	1610041.6734477528
SIPG Haifa Bayport	2024	1.2357684725721207	28000000	0.0	20475543.11	20475543.11	0.0	0.0	8511.63609571515	0.0	1508309.9063637834	1516821.5424594984
