port	company	operator_or_owner	month	year	K_PIM_lin_low	K_PIM_lin_central	K_PIM_lin_high	flows_imputed_annual	gap_years_from_prev_annual	K_PIM_real_low	K_PIM_real_central	K_PIM_real_high
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-01-01	2021	12279847.952056095	11798551.03074707	11327735.886446549	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-02-01	2021	12272061.854923123	11772011.03703737	11283706.764839824	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-03-01	2021	12265033.494443683	11748090.746802447	11244085.637967616	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-04-01	2021	12257256.790489389	11721664.259879725	11200381.651674787	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-05-01	2021	12249735.64281749	11696146.840714807	11158249.217497088	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-06-01	2021	12241968.638540192	11669837.197880587	11114878.863823615	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-07-01	2021	12234456.871796703	11644432.603382565	11073068.06516627	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-08-01	2021	12226699.555098249	11618239.288013466	11030028.797188314	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-09-01	2021	12218947.156964058	11592104.892627276	10987156.816052373	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-10-01	2021	12211449.516379915	11566869.517087532	10945826.468949143	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-11-01	2021	12203706.787606714	11540850.674314009	10903281.768973917	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2021-12-01	2021	12196218.498631211	11515726.876391927	10862266.934324643	False	1	12196218.498631198	11515726.87639192	10862266.93432464
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-01-01	2022	12170044.883159224	11471709.399864364	10802270.164606728	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-02-01	2022	12143927.437404674	11427860.174829796	10742604.781734517	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-03-01	2022	12120385.665198911	11388398.50393877	10688996.779526256	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-04-01	2022	12094374.790286437	11344867.724751802	10629957.052167848	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-05-01	2022	12069256.125603689	11302899.597304452	10573132.34191836	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-06-01	2022	12043354.976907482	11259695.627372019	10514732.58152295	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-07-01	2022	12018342.274674816	11218042.577501994	10458523.82833951	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-08-01	2022	11992550.389317615	11175162.963289132	10400757.097921994	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-09-01	2022	11966813.854468375	11132447.251227856	10343309.436925547	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-10-01	2022	11941960.119592212	11091264.931929354	10288017.062846329	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-11-01	2022	11916332.153662683	11048869.909970034	10231192.111452151	False	1			
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2022-12-01	2022	11891583.263636844	11007996.768759305	10176499.08452957	False	1	11891583.263636854	11007996.768759308	10176499.084529571
