table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	competition	1	post_full	Average full post, months 1-24	5	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	0.4849333857282079	0.15835791651109754	0.0021967129231090787	37	0.4978796090623645	1.0	24.0	24.0	0.485*** (0.158)
main	competition	1	pretrend_p	Pretrend test p-value	6	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1			6.074925445698461e-07	37	0.49343262739145843			2.0	0.000
main	competition	1	pretrend_p	Pretrend test p-value	6	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2			0.27583708504273846	37	0.5299088678305968			2.0	0.276
main	competition	1	pretrend_p	Pretrend test p-value	6	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3			3.4909068107793116e-06	37	0.41374535261883516			2.0	0.000
main	competition	1	pretrend_p	Pretrend test p-value	6	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4			0.008376428385516926	37	0.4978796090623645			2.0	0.008
main	competition	1	n_obs	Observations	7	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				37	0.49343262739145843				37
main	competition	1	n_obs	Observations	7	scalar	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2				37	0.5299088678305968				37
main	competition	1	n_obs	Observations	7	scalar	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3				37	0.41374535261883516				37
main	competition	1	n_obs	Observations	7	scalar	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4				37	0.4978796090623645				37
main	competition	1	r2	R-squared	8	scalar	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1				37	0.49343262739145843				0.493
