family	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	beta	se	pvalue	n_obs	r2
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	0.4849333857282079	0.15835791651109754	0.0021967129231090787	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-0.3191896357281407	0.020622800394925093	0.0	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.21928346973111257	0.08236758683875771	0.007761919222837754	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.3027146717313265	0.07286231293647896	3.2583935709151746e-05	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	-0.12197846867052675	0.05930492869645926	0.039705319903654335	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	-0.19451095670219254	0.049546738626602686	8.643927526108541e-05	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-0.42147815769237573	0.08116657080931927	2.0720421378683795e-07	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.1425670782579287	0.09986487879264105	0.15340708910668366	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.20644658454598197	0.109578135554745	0.05956327549980456	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	0.07782994483812278	0.213635838040567	0.7156255802896212	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	-0.05382402537409189	0.14383643085693731	0.7082532847592502	36	0.424018345076833
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0.1161405705023455	1.862365762282602e-08	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	4.377011832598838	0.12035824623601615	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	3.3850360453939268	0.0975698994887077	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	2.9050194196047836	0.03340619609531131	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	3.393021679300583	0.04842305885076204	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-2	-2	1	0.09383645071050228	0.02667345713219936	0.00043485975662460596	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	4.225593169730413	0.1686410871593399	0.0	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	3.1156548993448405	0.3160250997209192	0.0	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	2.7360068126189807	0.4096199253140373	2.3995694320433358e-11	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	3.203315423578304	0.31799787231571547	0.0	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	0.826868005099562	0.11470786962653426	5.657696533489798e-13	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.02888648623534129	0.017935480497028495	0.10727178161266604	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	0.3501313318172823	0.08816017341418077	7.141060680804223e-05	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	0.47715136320093254	0.03560197408920107	0.0	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	0.3120058290739958	0.02443234258315631	0.0	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	0.647581374195862	0.22806610340168085	0.004519195007062882	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	0.10557848694243566	0.15342587385229245	0.491364598271544	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	0.32581176202571305	0.29226516986324236	0.2649441282945677	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	0.5377856002530814	0.5850984194514333	0.3580239235066853	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	0.36973839550403426	0.3946661594823079	0.34884171275127973	36	0.7573961355227737
