port	year	month	month_index	quarter	tons_port_m	TEU_port_m	L_hours_port_m
Ashdod	2018	1	201801	Q1	2003195.046	121784.0	2944.6411283756097
Ashdod	2018	2	201802	Q1	1853087.047	108885.0	2944.6411283756097
Ashdod	2018	3	201803	Q1	1899461.314	122666.0	2944.6411283756097
Ashdod	2018	4	201804	Q2	1925889.287	117145.0	3007.98648357777
Ashdod	2018	5	201805	Q2	1982586.069	109438.0	3007.98648357777
Ashdod	2018	6	201806	Q2	1971086.063	132217.0	3007.98648357777
Ashdod	2018	7	201807	Q3	2204184.377	142318.0	3028.1183638244293
Ashdod	2018	8	201808	Q3	2189938.196	136641.0	3028.1183638244293
Ashdod	2018	9	201809	Q3	1524789.63	95956.0	3028.1183638244293
Ashdod	2018	10	201810	Q4	2025302.49	137108.0	3029.0995526774736
Ashdod	2018	11	201811	Q4	2055397.323	130572.0	3029.0995526774736
Ashdod	2018	12	201812	Q4	1840130.271	122481.0	3029.0995526774736
Ashdod	2019	1	201901	Q1	1957516.591	122983.0	2955.5498509479307
Ashdod	2019	2	201902	Q1	1858875.069	134800.0	2955.5498509479307
Ashdod	2019	3	201903	Q1	1896987.78	117963.0	2955.5498509479307
Ashdod	2019	4	201904	Q2	2000467.108	134523.0	3110.9009540512707
Ashdod	2019	5	201905	Q2	2054487.8950000003	129557.0	3110.9009540512707
Ashdod	2019	6	201906	Q2	1958733.9710000001	138893.0	3110.9009540512707
Ashdod	2019	7	201907	Q3	2197893.836	149568.0	3244.768891659122
Ashdod	2019	8	201908	Q3	2181836.7509999997	132240.0	3244.768891659122
Ashdod	2019	9	201909	Q3	1892738.77	127738.0	3244.768891659122
Ashdod	2019	10	201910	Q4	1792693.28	113143.0	2891.923160484535
Ashdod	2019	11	201911	Q4	1982382.752	119108.0	2891.923160484535
Ashdod	2019	12	201912	Q4	1815306.523	117080.0	2891.923160484535
Ashdod	2020	1	202001	Q1	1835242.0999999999	118457.0	3177.832503248949
Ashdod	2020	2	202002	Q1	1933438.078	125794.0	3177.832503248949
Ashdod	2020	3	202003	Q1	1856792.1169999999	119175.0	3177.832503248949
Ashdod	2020	4	202004	Q2	1850266.5050000001	114099.0	3328.4624153558893
Ashdod	2020	5	202005	Q2	1997070.614	121426.0	3328.4624153558893
Ashdod	2020	6	202006	Q2	2044783.716	136483.0	3328.4624153558893
Ashdod	2020	7	202007	Q3	2081313.4279999998	143321.0	3461.4382537092774
Ashdod	2020	8	202008	Q3	2099862.499	145353.0	3461.4382537092774
Ashdod	2020	9	202009	Q3	1946341.7999999998	136085.0	3461.4382537092774
Ashdod	2020	10	202010	Q4	2106747.689	144608.0	3574.9933234123782
Ashdod	2020	11	202011	Q4	2089987.7999999998	138073.0	3574.9933234123782
Ashdod	2020	12	202012	Q4	2131800.0379999997	141625.0	3574.9933234123782
Ashdod	2021	1	202101	Q1	1978636.9	133397.0	3533.370792343458
Ashdod	2021	2	202102	Q1	1874818.0	119323.0	3533.370792343458
Ashdod	2021	3	202103	Q1	2055116.9	136831.0	3533.370792343458
Ashdod	2021	4	202104	Q2	1879225.8	130945.0	3510.538025282764
Ashdod	2021	5	202105	Q2	1939299.0	139946.0	3510.538025282764
Ashdod	2021	6	202106	Q2	2051865.6	145913.0	3510.538025282764
Ashdod	2021	7	202107	Q3	1922524.0	150512.0	3458.7483112771297
Ashdod	2021	8	202108	Q3	2207186.2	161251.50681736224	3458.7483112771297
Ashdod	2021	9	202109	Q3	1624674.2	119088.7115092014	3458.7483112771297
Ashdod	2021	10	202110	Q4	1923009.5	131158.64319885705	3654.171319775131
Ashdod	2021	11	202111	Q4	2204187.1999999997	149293.31231996237	3654.171319775131
Ashdod	2021	12	202112	Q4	1927213.6	132608.90094871746	3654.171319775131
