port	terminal	year	month	month_index	quarter	TEU_port_m	share_i_p_q	TEU_i_m	tons_port_m	tons_i_m	TEU_i_y	Pi_teu_per_hour_i_y	H_annual_i_y	quarter_index	tons_port_q	activity_i_q_raw	activity_i_y	w_i_q_in_year	L_hours_i_q	active_months_in_q	is_active_month	w_i_m_in_year	L_hours_i_m	anchor_mode	labor_weight_source	teu_month_source	kpi_backfill_source
Haifa	Haifa-Legacy	2019	1	201901	Q1	123013.0	0.3333333333333333	123013.0	2470007.68	2470007.68	1379155.0	56.0	24627.76785714286	20191	15225147.82	5075049.273333333	19389510.84	0.26174199623765926	6446.121121806232	3	1.0	0.08724733207921975	2148.707040602077	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	2	201902	Q1	106443.0	0.3333333333333333	106443.0	2325576.96	2325576.96	1379155.0	56.0	24627.76785714286	20191	15225147.82	5075049.273333333	19389510.84	0.26174199623765926	6446.121121806232	3	1.0	0.08724733207921975	2148.707040602077	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	3	201903	Q1	125746.0	0.3333333333333333	125746.0	2816989.27	2816989.27	1379155.0	56.0	24627.76785714286	20191	15225147.82	5075049.273333333	19389510.84	0.26174199623765926	6446.121121806232	3	1.0	0.08724733207921975	2148.707040602077	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	4	201904	Q2	127316.0	0.3333333333333333	127316.0	2526060.42	2526060.42	1379155.0	56.0	24627.76785714286	20192	14870967.08	4956989.026666666	19389510.84	0.255653124391387	6296.165799464346	3	1.0	0.08521770813046232	2098.7219331547817	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	5	201905	Q2	118131.0	0.3333333333333333	118131.0	2426771.23	2426771.23	1379155.0	56.0	24627.76785714286	20192	14870967.08	4956989.026666666	19389510.84	0.255653124391387	6296.165799464346	3	1.0	0.08521770813046232	2098.7219331547817	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	6	201906	Q2	112027.0	0.3333333333333333	112027.0	2482651.89	2482651.89	1379155.0	56.0	24627.76785714286	20192	14870967.08	4956989.026666666	19389510.84	0.255653124391387	6296.165799464346	3	1.0	0.08521770813046232	2098.7219331547817	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	7	201907	Q3	116265.0	0.3333333333333333	116265.0	2459658.8200000003	2459658.8200000003	1379155.0	56.0	24627.76785714286	20193	13733995.16	4577998.386666667	19389510.84	0.23610695620141114	5814.7873067849505	3	1.0	0.07870231873380372	1938.2624355949836	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	8	201908	Q3	104006.0	0.3333333333333333	104006.0	2214668.53	2214668.53	1379155.0	56.0	24627.76785714286	20193	13733995.16	4577998.386666667	19389510.84	0.23610695620141114	5814.7873067849505	3	1.0	0.07870231873380372	1938.2624355949836	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	9	201909	Q3	102448.0	0.3333333333333333	102448.0	2192670.23	2192670.23	1379155.0	56.0	24627.76785714286	20193	13733995.16	4577998.386666667	19389510.84	0.23610695620141114	5814.7873067849505	3	1.0	0.07870231873380372	1938.2624355949836	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
Haifa	Haifa-Legacy	2019	10	201910	Q4	115624.0	0.3333333333333333	115624.0	2862368.2199999997	2862368.2199999997	1379155.0	56.0	24627.76785714286	20194	14338422.459999999	4779474.153333332	19389510.84	0.24649792316954255	6070.69362908733	3	1.0	0.08216597438984752	2023.56454302911	work_only	quarter_flat_with_first_supported_quarter	observed_port_month_pre_entry	
