entity	year	pool_type	month	share	rule_name	source_id	notes
HPC	2020	mapped_undated	2020-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2020	mapped_undated	2020-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2020	mapped_undated	2020-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2020	mapped_undated	2020-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2020	mapped_undated	2020-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	background	2021-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	lease_addition	2021-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2021	mapped_undated	2021-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	background	2023-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-08	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-09	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-10	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-11	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	lease_addition	2023-12	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-01	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-02	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-03	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-04	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-05	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-06	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
HPC	2023	mapped_undated	2023-07	0.08333333333333333	uniform	HPC_RULE	Generated default monthly shares
