reform	target	spec_name	window	a	b	beta	se	n_obs	r2
haifa_comp	Haifa-Bayport terminal	baseline	avg_pre	-24	-2	2.3857991637337044	1.1911600965656718e-14	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	post_1yr	1	12	0.3999227347891937	1.5194157643534115e-15	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	post_2yrs	1	24	0.36679090270896364	1.525077556462738e-15	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	full_post	1	13	0.36679090270896364	1.525077556462738e-15	91	1.0
haifa_comp	Haifa-Legacy terminal	baseline	avg_pre	-24	-2	2.3857991637337044	1.1671340382667644e-14	91	1.0
haifa_comp	Haifa-Legacy terminal	baseline	post_1yr	1	12	0.4055999220118809	1.4979879174551285e-15	91	1.0
haifa_comp	Haifa-Legacy terminal	baseline	post_2yrs	1	24	0.37246808993165076	1.2760294920119847e-15	91	1.0
haifa_comp	Haifa-Legacy terminal	baseline	full_post	1	13	0.37246808993165076	1.2760294920119847e-15	91	1.0
ashdod_comp	Ashdod-HCT terminal	baseline	avg_pre	-24	-2	0.22119981640818892	6.018931450281999e-15	95	1.0
ashdod_comp	Ashdod-HCT terminal	baseline	post_1yr	1	12	-0.14805138457967598	7.880817723903192e-15	95	1.0
ashdod_comp	Ashdod-HCT terminal	baseline	post_2yrs	1	24	-0.14805138457967598	7.880817723903192e-15	95	1.0
ashdod_comp	Ashdod-HCT terminal	baseline	full_post	1	10	-0.14805138457967598	7.880817723903192e-15	95	1.0
ashdod_comp	Ashdod-Legacy terminal	baseline	avg_pre	-24	-2	0.21431785040556928	5.866336534426212e-15	95	1.0
ashdod_comp	Ashdod-Legacy terminal	baseline	post_1yr	1	12	-0.14805138457967565	7.512688450595224e-15	95	1.0
ashdod_comp	Ashdod-Legacy terminal	baseline	post_2yrs	1	24	-0.14805138457967565	7.512688450595224e-15	95	1.0
ashdod_comp	Ashdod-Legacy terminal	baseline	full_post	1	10	-0.14805138457967565	7.512688450595224e-15	95	1.0
haifa_priv	Haifa-Legacy terminal	baseline	avg_pre	-24	-2	0.035421342193715344	0.024770894074231137	117	0.9473313190845971
haifa_priv	Haifa-Legacy terminal	baseline	post_1yr	1	12	0.08523875231023893	0.08927418428544805	117	0.9473313190845971
haifa_priv	Haifa-Legacy terminal	baseline	post_2yrs	1	24	0.08523875231023893	0.08927418428544805	117	0.9473313190845971
haifa_priv	Haifa-Legacy terminal	baseline	full_post	1	8	0.08523875231023893	0.08927418428544805	117	0.9473313190845971
