design	table_group	reform	target	target_key	spec_name	horizon	a	b	beta	se	pvalue	n_obs	r2	n_treated	n_control	n_post_treated	se_type
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	full_post	1	23	0.7086718654703785	0.4653894607496153	0.12782122902879967	72	0.4017726182250059	36	36	23	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1	1	12	1.0525955314567528	0.5849821132800902	0.07196118080977565	50	0.40705476690549314	25	25	12	HC1
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	baseline	post_y1_2	1	23	0.7086718654703785	0.4653894607496153	0.12782122902879967	72	0.4017726182250059	36	36	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	23	-0.7086718654703696	0.46538946074961535	0.1278212290288045	72	0.40177261822500576	36	36	23	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	12	-1.0525955314567566	0.58498211328009	0.07196118080977452	50	0.407054766905493	25	25	12	HC1
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	23	-0.7086718654703696	0.46538946074961535	0.1278212290288045	72	0.40177261822500576	36	36	23	HC1
