port	terminal	year	month	date	L_hours
Ashdod	Ashdod-Legacy	2018	9	2018-09-30	3028.1183638244293
Ashdod	Ashdod-Legacy	2018	10	2018-10-31	3029.0995526774736
Ashdod	Ashdod-Legacy	2018	11	2018-11-30	3029.0995526774736
Ashdod	Ashdod-Legacy	2018	12	2018-12-31	3029.0995526774736
Ashdod	Ashdod-Legacy	2019	1	2019-01-31	2955.5498509479307
Ashdod	Ashdod-Legacy	2019	2	2019-02-28	2955.5498509479307
Ashdod	Ashdod-Legacy	2019	3	2019-03-31	2955.5498509479307
Ashdod	Ashdod-Legacy	2019	4	2019-04-30	3110.9009540512707
Ashdod	Ashdod-Legacy	2019	5	2019-05-31	3110.9009540512707
Ashdod	Ashdod-Legacy	2019	6	2019-06-30	3110.9009540512707
Ashdod	Ashdod-Legacy	2019	7	2019-07-31	3244.768891659122
Ashdod	Ashdod-Legacy	2019	8	2019-08-31	3244.768891659122
Ashdod	Ashdod-Legacy	2019	9	2019-09-30	3244.768891659122
Ashdod	Ashdod-Legacy	2019	10	2019-10-31	2891.923160484535
Ashdod	Ashdod-Legacy	2019	11	2019-11-30	2891.923160484535
Ashdod	Ashdod-Legacy	2019	12	2019-12-31	2891.923160484535
Ashdod	Ashdod-Legacy	2020	1	2020-01-31	3177.832503248949
Ashdod	Ashdod-Legacy	2020	2	2020-02-29	3177.832503248949
Ashdod	Ashdod-Legacy	2020	3	2020-03-31	3177.832503248949
Ashdod	Ashdod-Legacy	2020	4	2020-04-30	3328.4624153558893
Ashdod	Ashdod-Legacy	2020	5	2020-05-31	3328.4624153558893
Ashdod	Ashdod-Legacy	2020	6	2020-06-30	3328.4624153558893
Ashdod	Ashdod-Legacy	2020	7	2020-07-31	3461.4382537092774
Ashdod	Ashdod-Legacy	2020	8	2020-08-31	3461.4382537092774
Ashdod	Ashdod-Legacy	2020	9	2020-09-30	3461.4382537092774
Ashdod	Ashdod-Legacy	2020	10	2020-10-31	3574.9933234123782
Ashdod	Ashdod-Legacy	2020	11	2020-11-30	3574.9933234123782
Ashdod	Ashdod-Legacy	2020	12	2020-12-31	3574.9933234123782
Ashdod	Ashdod-Legacy	2021	1	2021-01-31	3533.370792343458
Ashdod	Ashdod-Legacy	2021	2	2021-02-28	3533.370792343458
Ashdod	Ashdod-Legacy	2021	3	2021-03-31	3533.370792343458
Ashdod	Ashdod-Legacy	2021	4	2021-04-30	3510.538025282764
Ashdod	Ashdod-Legacy	2021	5	2021-05-31	3510.538025282764
Ashdod	Ashdod-Legacy	2021	6	2021-06-30	3510.538025282764
Ashdod	Ashdod-Legacy	2021	7	2021-07-31	3369.4560512810585
Ashdod	Ashdod-Legacy	2021	8	2021-08-31	3369.4560512810585
Ashdod	Ashdod-Legacy	2021	9	2021-09-30	3369.4560512810585
Ashdod	Ashdod-Legacy	2021	10	2021-10-31	3483.5980369813697
Ashdod	Ashdod-Legacy	2021	11	2021-11-30	3483.5980369813697
