port	year	month	date	L_hours_port
Haifa	2021	2	2021-02-28	2711.6076441931177
Haifa	2021	3	2021-03-31	2711.6076441931177
Haifa	2021	4	2021-04-30	2752.095288583881
Haifa	2021	5	2021-05-31	2752.095288583881
Haifa	2021	6	2021-06-30	2752.095288583881
Haifa	2021	7	2021-07-31	2512.9353157131686
Haifa	2021	8	2021-08-31	2512.9353157131686
Haifa	2021	9	2021-09-30	2512.9353157131686
Haifa	2021	10	2021-10-31	2655.2979514065228
Haifa	2021	11	2021-11-30	2655.2979514065228
Haifa	2021	12	2021-12-31	2655.2979514065228
Haifa	2022	1	2022-01-31	3409.93861821052
Haifa	2022	2	2022-02-28	3409.93861821052
Haifa	2022	3	2022-03-31	3409.93861821052
Haifa	2022	4	2022-04-30	3116.603257635801
Haifa	2022	5	2022-05-31	3116.603257635801
Haifa	2022	6	2022-06-30	3116.603257635801
Haifa	2022	7	2022-07-31	2520.4374245157833
Haifa	2022	8	2022-08-31	2520.4374245157833
Haifa	2022	9	2022-09-30	2520.4374245157833
Haifa	2022	10	2022-10-31	2022.7140408514495
Haifa	2022	11	2022-11-30	2022.7140408514495
Haifa	2022	12	2022-12-31	2022.7140408514495
Haifa	2023	1	2023-01-31	2492.7738896474934
Haifa	2023	2	2023-02-28	2492.7738896474934
Haifa	2023	3	2023-03-31	2492.7738896474934
Haifa	2023	4	2023-04-30	3053.9458811219292
Haifa	2023	5	2023-05-31	3053.9458811219292
Haifa	2023	6	2023-06-30	3053.9458811219292
Haifa	2023	7	2023-07-31	2923.5189644258608
Haifa	2023	8	2023-08-31	2923.5189644258608
Haifa	2023	9	2023-09-30	2923.5189644258608
Haifa	2023	10	2023-10-31	2530.654877805472
Haifa	2023	11	2023-11-30	2530.654877805472
Haifa	2023	12	2023-12-31	2530.654877805472
Haifa	2024	1	2024-01-31	2137.1462392174435
Haifa	2024	2	2024-02-29	2137.1462392174435
Haifa	2024	3	2024-03-31	2137.1462392174435
Haifa	2024	4	2024-04-30	2033.398958551319
Haifa	2024	5	2024-05-31	2033.398958551319
Haifa	2024	6	2024-06-30	2033.398958551319
Haifa	2024	7	2024-07-31	2370.385561450259
Haifa	2024	8	2024-08-31	2370.385561450259
Haifa	2024	9	2024-09-30	2370.385561450259
Haifa	2024	10	2024-10-31	2480.5853383419535
Haifa	2024	11	2024-11-30	2480.5853383419535
Haifa	2024	12	2024-12-31	2480.5853383419535
