series_id	entity	level	freq	port	terminal	year	month	month_index	delta_scenario	K	L	KL	log_KL
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2021	6	202106	central	13849823.922346102	2717.728104573316	5096.103579692173	8.536231522730713
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2021	7	202107	central	13884727.872528091	2556.8643381526936	5430.373315214547	8.59976316106469
Haifa_port_KL_cluster_central	Haifa port cluster	port	M	Haifa		2021	8	202108	central	13929927.04344828	2604.4821584781084	5348.444026811085	8.584560961478951
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	7	202107	central	4249.3769269910335	64.71622172807184	65.661696766636	4.184515753448906
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	8	202108	central	4217.1456308677725	72.1349452524899	58.46189549471112	4.068375182946566
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	9	202109	central	138148.05880739723	17.58060693871951	7857.980062288982	8.96928486286512
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	10	202110	central	405026.0131893743	183.7185616917922	2204.6003923590984	7.698301543502119
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	11	202111	central	803842.6125983886	197.9545455351427	4060.7433914958174	8.30912133718842
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2021	12	202112	central	1333597.1094869685	228.06834521519625	5847.357327158397	8.673745099213843
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	1	202201	central	1329504.975129254	187.5910646644946	7087.251077267805	8.866052826046088
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	2	202202	central	1331467.0075963351	214.5251368471761	6206.578059637126	8.733364985955317
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	3	202203	central	1339437.2863574931	303.69498132517356	4410.468953134676	8.391736301366638
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	4	202204	central	1353370.239186773	489.04028388067235	2767.400322213539	7.92566364666714
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	5	202205	central	1373220.63952111	787.7878263608577	1743.1351355918089	7.463440572974707
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	6	202206	central	1398943.6038384938	693.88291036455	2016.109033588277	7.6089247118499355
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	7	202207	central	1430494.5890560232	952.4833452957592	1501.8578499258008	7.314458187316622
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	8	202208	central	1467829.3899476912	1040.6891428118306	1410.4398033612356	7.251656852013605
Haifa_port_KL_SIPG_central	Haifa--Bayport	terminal	M	Haifa	Haifa-Bayport	2022	9	202209	central	1510904.13658176	1178.3794149236296	1282.1881623582851	7.156323399220947
